episode,reward,steps,success,epsilon
1,-121.59999999999917,500,0,0.995
2,-130.79999999999936,500,0,0.990025
3,-58.5000000000001,282,1,0.985074875
4,-119.59999999999941,500,0,0.9801495006250001
5,-124.79999999999922,500,0,0.9752487531218751
6,-125.99999999999952,500,0,0.9703725093562657
7,-115.59999999999934,500,0,0.9655206468094844
8,-117.59999999999923,500,0,0.960693043575437
9,-127.99999999999906,500,0,0.9558895783575597
10,-118.79999999999939,500,0,0.9511101304657719
11,-115.99999999999946,500,0,0.946354579813443
12,-121.49999999999946,488,1,0.9416228069143757
13,-128.39999999999932,500,0,0.9369146928798039
14,-107.99999999999946,500,0,0.9322301194154049
15,-122.79999999999933,500,0,0.9275689688183278
16,-123.19999999999914,500,0,0.9229311239742362
17,-119.99999999999929,500,0,0.918316468354365
18,-116.39999999999938,500,0,0.9137248860125932
19,-118.39999999999934,500,0,0.9091562615825302
20,-112.3999999999994,500,0,0.9046104802746175
21,-110.79999999999936,500,0,0.9000874278732445
22,-109.1999999999995,500,0,0.8955869907338783
23,-113.19999999999939,500,0,0.8911090557802088
24,-110.79999999999944,500,0,0.8866535105013078
25,-110.79999999999939,500,0,0.8822202429488013
26,-121.9999999999992,500,0,0.8778091417340573
27,-117.59999999999907,500,0,0.8734200960253871
28,-119.19999999999926,500,0,0.8690529955452602
29,-110.79999999999934,500,0,0.8647077305675338
30,-107.9999999999994,500,0,0.8603841919146962
31,-99.59999999999951,500,0,0.8560822709551227
32,-110.3999999999995,500,0,0.851801859600347
33,-134.39999999999984,500,0,0.8475428503023453
34,-117.59999999999944,500,0,0.8433051360508336
35,-113.59999999999962,500,0,0.8390886103705794
36,-100.7999999999995,500,0,0.8348931673187264
37,-105.59999999999931,500,0,0.8307187014821328
38,-103.19999999999933,500,0,0.8265651079747222
39,-102.79999999999984,500,0,0.8224322824348486
40,-98.39999999999961,500,0,0.8183201210226743
41,-111.1999999999992,500,0,0.8142285204175609
42,-98.3999999999995,500,0,0.810157377815473
43,-114.39999999999957,500,0,0.8061065909263957
44,-100.79999999999927,500,0,0.8020760579717637
45,-95.19999999999956,500,0,0.798065677681905
46,-94.79999999999961,500,0,0.7940753492934954
47,-106.3999999999993,500,0,0.7901049725470279
48,-95.19999999999965,500,0,0.7861544476842928
49,-95.99999999999942,500,0,0.7822236754458713
50,-97.19999999999956,500,0,0.778312557068642
51,-95.99999999999947,500,0,0.7744209942832988
52,-104.79999999999947,500,0,0.7705488893118823
53,-139.99999999999935,500,0,0.7666961448653229
54,-97.59999999999948,500,0,0.7628626641409962
55,-94.79999999999944,500,0,0.7590483508202912
56,-96.7999999999995,500,0,0.7552531090661897
57,-91.59999999999962,500,0,0.7514768435208588
58,-93.19999999999956,500,0,0.7477194593032545
59,-97.19999999999949,500,0,0.7439808620067382
60,-112.79999999999939,500,0,0.7402609576967045
