episode,reward,steps,success,epsilon
1,-132.7999999999993,500,0,0.995
2,-126.79999999999944,500,0,0.990025
3,-128.3999999999992,500,0,0.985074875
4,-109.9999999999994,500,0,0.9801495006250001
5,-137.19999999999945,500,0,0.9752487531218751
6,-128.39999999999927,500,0,0.9703725093562657
7,-133.59999999999943,500,0,0.9655206468094844
8,-123.99999999999952,500,0,0.960693043575437
9,-127.59999999999943,500,0,0.9558895783575597
10,-123.19999999999906,500,0,0.9511101304657719
11,-127.99999999999946,500,0,0.946354579813443
12,-129.59999999999937,500,0,0.9416228069143757
13,-143.59999999999962,500,0,0.9369146928798039
14,-113.19999999999948,500,0,0.9322301194154049
15,-121.59999999999917,500,0,0.9275689688183278
16,-105.99999999999932,481,1,0.9229311239742362
17,-118.39999999999935,500,0,0.918316468354365
18,-117.19999999999943,500,0,0.9137248860125932
19,-121.9999999999992,500,0,0.9091562615825302
20,-118.79999999999946,500,0,0.9046104802746175
21,-98.3999999999994,465,1,0.9000874278732445
22,-122.79999999999905,500,0,0.8955869907338783
23,-114.79999999999941,500,0,0.8911090557802088
24,-115.59999999999955,500,0,0.8866535105013078
25,-116.79999999999936,500,0,0.8822202429488013
26,-109.59999999999931,500,0,0.8778091417340573
27,-24.400000000000034,137,1,0.8734200960253871
28,-117.9999999999994,500,0,0.8690529955452602
29,-104.79999999999932,500,0,0.8647077305675338
30,-118.7999999999993,500,0,0.8603841919146962
31,-106.39999999999932,500,0,0.8560822709551227
32,-109.59999999999967,500,0,0.851801859600347
33,-97.19999999999939,500,0,0.8475428503023453
34,-116.79999999999914,500,0,0.8433051360508336
35,-103.59999999999917,500,0,0.8390886103705794
36,-105.19999999999953,500,0,0.8348931673187264
37,-110.3999999999993,500,0,0.8307187014821328
38,-109.19999999999945,500,0,0.8265651079747222
39,-44.500000000000156,258,1,0.8224322824348486
40,-95.59999999999961,500,0,0.8183201210226743
41,-46.90000000000022,298,1,0.8142285204175609
42,-124.79999999999916,500,0,0.810157377815473
43,-87.49999999999959,484,1,0.8061065909263957
44,-103.19999999999922,500,0,0.8020760579717637
45,-24.60000000000008,175,1,0.798065677681905
46,-77.09999999999965,472,1,0.7940753492934954
47,-40.70000000000013,256,1,0.7901049725470279
48,-24.700000000000102,172,1,0.7861544476842928
49,-96.39999999999938,500,0,0.7822236754458713
50,-55.50000000000017,276,1,0.778312557068642
51,-34.70000000000012,200,1,0.7744209942832988
52,-20.500000000000043,126,1,0.7705488893118823
53,-21.80000000000006,135,1,0.7666961448653229
54,-41.90000000000014,220,1,0.7628626641409962
55,-59.10000000000011,316,1,0.7590483508202912
56,-46.000000000000135,261,1,0.7552531090661897
57,-42.60000000000017,243,1,0.7514768435208588
58,-25.100000000000044,144,1,0.7477194593032545
59,-31.900000000000112,212,1,0.7439808620067382
60,-23.800000000000068,175,1,0.7402609576967045
61,-7.699999999999999,66,1,0.736559652908221
62,-15.000000000000025,119,1,0.7328768546436799
63,-12.600000000000001,99,1,0.7292124703704616
64,-2.3999999999999932,57,1,0.7255664080186093
65,-16.000000000000046,129,1,0.7219385759785162
66,-35.10000000000011,208,1,0.7183288830986236
67,-14.600000000000016,111,1,0.7147372386831305
68,-7.199999999999989,93,1,0.7111635524897149
