sigma,n_seeds,sum_n_success,total_episodes,mean_success_rate,std_success_rate,mean_path_eff,std_path_eff,n_path_eff,mean_steps_success,n_steps_success
0.0,10,1000,1000,1.0,0.0,0.9449760765550238,0.04708727157559155,10,19.1,10
0.1,10,800,1000,0.8,0.42163702135578396,0.8474836295766349,0.10206329284515964,8,21.77,8
