episode,reward,steps,success,epsilon
1,-121.59999999999917,500,0,0.995
2,-130.79999999999936,500,0,0.990025
3,-128.39999999999924,500,0,0.985074875
4,-118.39999999999928,500,0,0.9801495006250001
5,-67.00000000000001,319,1,0.9752487531218751
6,-137.599999999999,500,0,0.9703725093562657
7,-117.19999999999949,500,0,0.9655206468094844
8,-123.99999999999926,500,0,0.960693043575437
9,-125.599999999999,500,0,0.9558895783575597
10,-116.79999999999934,500,0,0.9511101304657719
11,-109.99999999999955,500,0,0.946354579813443
12,-104.5999999999996,451,1,0.9416228069143757
13,-123.59999999999928,500,0,0.9369146928798039
14,-109.99999999999936,500,0,0.9322301194154049
15,-119.99999999999933,500,0,0.9275689688183278
16,-114.79999999999949,500,0,0.9229311239742362
17,-115.19999999999929,500,0,0.918316468354365
18,-74.49999999999987,394,1,0.9137248860125932
19,-108.79999999999949,500,0,0.9091562615825302
20,-57.200000000000045,225,1,0.9046104802746175
21,-105.99999999999942,500,0,0.9000874278732445
22,-110.79999999999947,500,0,0.8955869907338783
23,-107.59999999999944,500,0,0.8911090557802088
24,-99.59999999999934,500,0,0.8866535105013078
25,-108.7999999999996,500,0,0.8822202429488013
26,-114.79999999999936,500,0,0.8778091417340573
27,-111.59999999999938,500,0,0.8734200960253871
28,-121.59999999999923,500,0,0.8690529955452602
29,-99.99999999999955,500,0,0.8647077305675338
30,-111.9999999999992,500,0,0.8603841919146962
31,-74.49999999999994,350,1,0.8560822709551227
32,-45.90000000000015,252,1,0.851801859600347
33,-111.59999999999943,500,0,0.8475428503023453
34,-109.59999999999937,500,0,0.8433051360508336
35,-60.7000000000001,296,1,0.8390886103705794
36,-101.19999999999945,500,0,0.8348931673187264
37,-107.19999999999956,500,0,0.8307187014821328
38,-106.39999999999931,500,0,0.8265651079747222
39,-35.30000000000011,194,1,0.8224322824348486
40,-95.99999999999963,489,1,0.8183201210226743
41,-65.79999999999995,355,1,0.8142285204175609
42,-91.19999999999969,500,0,0.810157377815473
43,-84.49999999999976,482,1,0.8061065909263957
44,-37.7000000000002,238,1,0.8020760579717637
45,-96.39999999999962,500,0,0.798065677681905
46,-67.00000000000006,367,1,0.7940753492934954
47,-96.79999999999974,500,0,0.7901049725470279
48,-50.30000000000023,332,1,0.7861544476842928
49,-93.19999999999948,500,0,0.7822236754458713
50,-50.900000000000134,266,1,0.778312557068642
51,-77.99999999999959,497,1,0.7744209942832988
52,-36.20000000000012,203,1,0.7705488893118823
53,-27.300000000000047,154,1,0.7666961448653229
54,-55.10000000000028,328,1,0.7628626641409962
55,-12.200000000000003,119,1,0.7590483508202912
56,-17.50000000000004,144,1,0.7552531090661897
57,-51.10000000000022,308,1,0.7514768435208588
58,-23.800000000000047,155,1,0.7477194593032545
59,-15.100000000000026,132,1,0.7439808620067382
60,-7.700000000000003,86,1,0.7402609576967045
