episode,reward,steps,success,epsilon
1,-121.59999999999917,500,0,0.995
2,-130.79999999999936,500,0,0.990025
3,-128.39999999999924,500,0,0.985074875
4,-118.39999999999928,500,0,0.9801495006250001
5,-67.00000000000001,319,1,0.9752487531218751
6,-137.99999999999903,500,0,0.9703725093562657
7,-117.19999999999949,500,0,0.9655206468094844
8,-122.79999999999924,500,0,0.960693043575437
9,-130.79999999999893,500,0,0.9558895783575597
10,-115.59999999999935,500,0,0.9511101304657719
11,-111.99999999999952,500,0,0.946354579813443
12,-106.19999999999959,451,1,0.9416228069143757
13,-125.9999999999993,500,0,0.9369146928798039
14,-112.39999999999932,500,0,0.9322301194154049
15,-120.39999999999931,500,0,0.9275689688183278
16,-109.9999999999995,500,0,0.9229311239742362
17,-116.39999999999935,500,0,0.918316468354365
18,-74.89999999999986,394,1,0.9137248860125932
19,-91.19999999999985,413,1,0.9091562615825302
20,-85.1999999999999,337,1,0.9046104802746175
21,-111.59999999999937,500,0,0.9000874278732445
22,-104.39999999999957,500,0,0.8955869907338783
23,-114.79999999999946,500,0,0.8911090557802088
24,-104.79999999999944,500,0,0.8866535105013078
25,-103.59999999999957,500,0,0.8822202429488013
26,-120.39999999999928,500,0,0.8778091417340573
27,-113.99999999999943,500,0,0.8734200960253871
28,-111.19999999999946,500,0,0.8690529955452602
29,-108.79999999999959,500,0,0.8647077305675338
30,-112.7999999999993,500,0,0.8603841919146962
31,-71.19999999999995,325,1,0.8560822709551227
32,-52.10000000000025,322,1,0.851801859600347
33,-78.89999999999984,386,1,0.8475428503023453
34,-75.29999999999987,394,1,0.8433051360508336
35,-90.6999999999997,444,1,0.8390886103705794
36,-83.1999999999998,425,1,0.8348931673187264
37,-97.9999999999996,500,0,0.8307187014821328
38,-109.19999999999929,500,0,0.8265651079747222
39,-52.60000000000016,271,1,0.8224322824348486
40,-72.70000000000002,388,1,0.8183201210226743
41,-46.40000000000012,237,1,0.8142285204175609
42,-45.800000000000125,219,1,0.810157377815473
43,-23.70000000000004,142,1,0.8061065909263957
44,-78.50000000000003,446,1,0.8020760579717637
45,-26.500000000000107,198,1,0.798065677681905
46,-63.10000000000002,328,1,0.7940753492934954
47,-28.700000000000088,156,1,0.7901049725470279
48,-69.49999999999999,412,1,0.7861544476842928
49,-28.100000000000087,166,1,0.7822236754458713
50,-36.90000000000011,202,1,0.778312557068642
51,-32.80000000000014,221,1,0.7744209942832988
52,-21.500000000000103,184,1,0.7705488893118823
53,-22.60000000000005,143,1,0.7666961448653229
54,-43.400000000000155,243,1,0.7628626641409962
55,-16.900000000000034,130,1,0.7590483508202912
56,-23.700000000000053,158,1,0.7552531090661897
57,-12.700000000000024,108,1,0.7514768435208588
58,-15.500000000000043,112,1,0.7477194593032545
59,-14.000000000000007,113,1,0.7439808620067382
60,-34.40000000000011,209,1,0.7402609576967045
