episode,reward,steps,success
1,-125.19999999999922,500,0
2,-147.59999999999928,500,0
3,-123.99999999999913,500,0
4,-135.5999999999995,500,0
5,-91.8999999999998,380,1
6,-17.700000000000028,114,1
7,-133.9999999999992,500,0
8,-124.79999999999913,500,0
9,-128.7999999999993,500,0
10,-40.0000000000001,205,1
11,-132.79999999999936,500,0
12,-118.39999999999941,500,0
13,-127.19999999999938,500,0
14,-86.39999999999979,349,1
15,-129.5999999999993,500,0
16,-70.30000000000005,332,1
17,-126.79999999999902,500,0
18,-127.19999999999914,500,0
19,-126.39999999999911,500,0
20,-125.19999999999919,500,0
21,-114.39999999999938,500,0
22,-119.99999999999928,500,0
23,-120.39999999999938,500,0
24,-129.99999999999943,500,0
25,-97.59999999999951,425,1
26,-120.7999999999993,500,0
27,-128.39999999999904,500,0
28,-117.99999999999946,500,0
29,-119.99999999999933,500,0
30,-123.19999999999939,500,0
31,-124.3999999999994,500,0
32,-68.60000000000011,319,1
33,-125.59999999999923,500,0
34,-114.79999999999926,500,0
35,-125.19999999999942,500,0
36,-137.99999999999915,500,0
37,-121.99999999999946,500,0
38,-117.59999999999931,500,0
39,-121.19999999999919,500,0
40,-62.600000000000065,323,1
41,-88.49999999999976,406,1
42,-125.19999999999919,500,0
43,-126.39999999999938,500,0
44,-126.79999999999951,500,0
45,-117.59999999999935,500,0
46,-117.19999999999948,500,0
47,-109.19999999999959,500,0
48,-120.79999999999944,500,0
49,-110.3999999999993,500,0
50,-118.79999999999933,500,0
51,-124.79999999999922,500,0
52,-123.59999999999916,500,0
53,-111.99999999999946,500,0
54,-106.79999999999959,500,0
55,-113.19999999999916,500,0
56,-105.1999999999994,500,0
57,-109.19999999999953,500,0
58,-121.19999999999936,500,0
59,-123.19999999999916,500,0
60,-116.79999999999944,500,0
61,-108.39999999999955,500,0
62,-117.5999999999994,500,0
63,-102.79999999999941,500,0
64,-109.5999999999992,500,0
65,-118.39999999999942,500,0
66,-121.59999999999928,500,0
67,-120.39999999999924,500,0
68,-109.19999999999933,500,0
69,-113.59999999999931,500,0
70,-117.19999999999922,500,0
71,-120.79999999999936,500,0
72,-121.5999999999994,500,0
73,-109.5999999999996,500,0
74,-123.99999999999909,500,0
75,-124.79999999999934,500,0
76,-120.39999999999918,500,0
77,-138.39999999999918,500,0
78,-122.39999999999938,500,0
79,-111.19999999999912,500,0
80,-40.20000000000015,227,1
81,-114.79999999999941,500,0
82,-108.39999999999935,500,0
83,-65.09999999999991,344,1
84,-125.99999999999926,500,0
85,-111.19999999999922,500,0
86,-113.19999999999916,500,0
87,-127.59999999999914,500,0
88,-123.59999999999921,500,0
89,-51.400000000000176,255,1
90,-58.200000000000074,299,1
91,-58.900000000000134,270,1
92,-106.39999999999921,493,1
93,-59.70000000000009,254,1
94,-113.59999999999928,500,0
95,-108.59999999999913,499,1
96,-41.60000000000011,205,1
97,-87.09999999999971,416,1
98,-134.39999999999932,500,0
99,-77.2999999999998,366,1
100,-113.99999999999937,500,0
101,-80.79999999999978,389,1
102,-101.19999999999955,481,1
103,-45.20000000000013,205,1
104,-47.50000000000015,216,1
105,-66.10000000000001,282,1
106,-85.39999999999979,383,1
107,-47.40000000000016,239,1
108,-67.79999999999991,295,1
109,-56.20000000000016,263,1
110,-71.1999999999997,333,1
111,-118.39999999999911,500,0
112,-127.59999999999914,500,0
113,-122.39999999999918,500,0
114,-135.5999999999991,500,0
115,-56.80000000000015,297,1
116,-83.09999999999958,376,1
117,-62.60000000000002,287,1
118,-28.50000000000012,166,1
119,-127.99999999999926,500,0
120,-37.90000000000011,188,1
121,-90.09999999999938,418,1
122,-127.99999999999909,500,0
123,-135.99999999999923,500,0
124,-127.99999999999922,500,0
125,-84.49999999999969,366,1
126,-55.60000000000008,261,1
127,-83.99999999999953,397,1
128,-80.59999999999982,407,1
129,-124.39999999999928,500,0
130,-51.60000000000016,245,1
131,-37.60000000000015,225,1
132,-38.80000000000013,197,1
133,-129.1999999999989,500,0
134,-125.59999999999924,500,0
135,-119.19999999999914,500,0
136,-57.700000000000045,282,1
137,-105.39999999999955,451,1
138,-96.19999999999949,411,1
139,-127.59999999999908,500,0
140,-55.8000000000001,255,1
141,-29.300000000000104,170,1
142,-85.69999999999959,386,1
143,-127.1999999999993,500,0
144,-47.100000000000115,204,1
145,-90.49999999999957,478,1
146,-104.09999999999937,474,1
147,-36.60000000000013,223,1
148,-22.00000000000007,137,1
149,-30.900000000000063,150,1
150,-44.100000000000165,242,1
151,-87.99999999999945,445,1
152,-49.4000000000002,251,1
153,-62.10000000000005,330,1
154,-99.39999999999944,423,1
155,-113.5999999999992,485,1
156,-63.90000000000005,292,1
157,-128.39999999999938,500,0
158,-63.20000000000003,285,1
159,-41.500000000000114,196,1
160,-99.49999999999922,428,1
161,-66.79999999999993,325,1
162,-73.19999999999996,365,1
163,-55.10000000000011,244,1
164,-16.400000000000052,109,1
165,-45.20000000000014,241,1
166,-32.5000000000001,174,1
167,-61.600000000000136,281,1
168,-134.79999999999922,500,0
169,-124.79999999999924,500,0
170,-15.900000000000013,100,1
171,-38.200000000000095,183,1
172,-72.49999999999986,334,1
173,-100.39999999999921,477,1
174,-22.900000000000084,134,1
175,-59.40000000000012,271,1
176,-72.59999999999988,267,1
177,-56.30000000000015,264,1
178,-32.70000000000011,192,1
179,-39.30000000000013,198,1
180,-138.39999999999935,500,0
181,-81.99999999999977,405,1
182,-118.3999999999993,500,0
183,-148.79999999999924,500,0
184,-77.09999999999982,324,1
185,-102.19999999999936,479,1
186,-143.99999999999918,500,0
187,-33.40000000000014,195,1
188,-90.39999999999962,429,1
189,-29.40000000000007,139,1
190,-29.600000000000072,153,1
191,-48.30000000000016,228,1
192,-26.000000000000092,157,1
193,-59.30000000000007,258,1
194,-27.800000000000104,163,1
195,-44.60000000000013,215,1
196,-17.200000000000024,125,1
197,-49.30000000000017,242,1
198,-43.80000000000016,227,1
199,-48.30000000000014,232,1
200,-32.30000000000012,184,1
201,-145.1999999999993,500,0
202,-44.900000000000084,194,1
203,-53.50000000000018,260,1
204,-103.39999999999924,479,1
205,-85.3999999999996,407,1
206,-46.70000000000013,212,1
207,-89.39999999999972,379,1
208,-17.800000000000054,107,1
209,-111.59999999999943,477,1
210,-79.49999999999987,360,1
211,-11.400000000000006,83,1
212,-111.5999999999994,445,1
213,-41.60000000000014,221,1
214,-141.19999999999928,500,0
215,-55.100000000000136,260,1
216,-84.19999999999965,355,1
217,-13.900000000000034,92,1
218,-23.30000000000009,142,1
219,-33.0000000000001,155,1
220,-47.000000000000114,191,1
221,-40.8000000000001,209,1
222,-70.39999999999989,293,1
223,-21.70000000000004,122,1
224,-30.700000000000074,148,1
225,-38.80000000000009,173,1
226,-68.6999999999999,312,1
227,-70.8,293,1
228,-34.2000000000001,171,1
229,-13.400000000000034,99,1
230,-64.89999999999995,262,1
231,-77.79999999999973,287,1
232,-29.50000000000005,148,1
233,-36.90000000000009,190,1
234,-61.799999999999955,251,1
235,-14.100000000000023,106,1
236,-19.90000000000004,120,1
237,-48.200000000000145,223,1
238,-59.29999999999997,234,1
239,-14.800000000000026,105,1
240,-53.20000000000009,209,1
241,-103.49999999999928,452,1
242,-57.300000000000125,262,1
243,-33.00000000000011,175,1
244,-51.60000000000016,237,1
245,-23.300000000000075,130,1
246,-42.6000000000001,203,1
247,-60.70000000000002,236,1
248,-45.30000000000011,202,1
249,-27.40000000000007,131,1
250,-32.900000000000084,154,1
251,-30.400000000000098,169,1
252,-43.700000000000124,206,1
253,-62.59999999999994,251,1
254,-59.10000000000004,256,1
255,-62.90000000000012,258,1
256,-23.40000000000007,127,1
257,-19.500000000000057,144,1
258,-12.3,104,1
259,-33.80000000000009,167,1
260,-63.50000000000006,296,1
261,-34.0000000000001,173,1
262,-39.70000000000009,178,1
263,-59.000000000000085,275,1
264,-30.100000000000065,134,1
265,-36.700000000000095,176,1
266,-53.10000000000014,236,1
267,-53.700000000000145,254,1
268,-1.3999999999999897,55,1
269,-32.200000000000045,151,1
270,-10.0,81,1
271,-37.5000000000001,184,1
272,-21.20000000000005,133,1
273,-48.80000000000013,221,1
274,-128.9999999999994,491,1
275,-26.200000000000074,155,1
276,-22.40000000000005,137,1
277,-58.90000000000006,246,1
278,-25.10000000000006,144,1
279,-24.20000000000006,139,1
280,-22.200000000000053,143,1
281,-43.50000000000013,200,1
282,-40.80000000000014,201,1
283,-60.700000000000074,252,1
284,-32.800000000000104,177,1
285,-15.600000000000023,109,1
286,-28.500000000000092,162,1
287,-47.60000000000009,217,1
288,-15.900000000000027,108,1
289,-21.50000000000006,136,1
290,-51.000000000000114,219,1
291,-12.700000000000031,96,1
292,-37.50000000000011,192,1
293,-23.000000000000064,111,1
294,-37.100000000000094,168,1
295,-54.70000000000013,256,1
296,-16.30000000000003,116,1
297,-34.10000000000009,170,1
298,-42.70000000000012,196,1
299,-23.400000000000055,131,1
300,-33.70000000000009,166,1
301,-33.90000000000007,156,1
302,-18.600000000000037,107,1
303,-10.900000000000027,66,1
304,-52.100000000000136,242,1
305,-10.100000000000016,78,1
306,-34.500000000000085,182,1
307,-20.600000000000037,111,1
308,-18.30000000000002,124,1
309,-15.300000000000018,118,1
310,-33.70000000000007,158,1
311,-16.700000000000028,112,1
312,-39.20000000000012,193,1
313,-22.400000000000055,117,1
314,-32.60000000000008,179,1
315,-11.700000000000003,82,1
316,-9.200000000000014,85,1
317,-25.000000000000057,127,1
318,-32.300000000000075,168,1
319,-21.500000000000046,128,1
320,-28.300000000000047,124,1
321,-52.50000000000009,210,1
322,-26.70000000000006,136,1
323,-15.200000000000031,93,1
324,-19.700000000000053,114,1
325,-23.500000000000064,136,1
326,-12.80000000000003,93,1
327,-18.900000000000038,114,1
328,-33.80000000000009,159,1
329,-4.29999999999999,56,1
330,-21.900000000000052,108,1
331,-11.00000000000001,83,1
332,-18.80000000000003,105,1
333,-33.500000000000114,172,1
334,-25.100000000000037,124,1
335,-17.30000000000004,102,1
336,-21.400000000000055,119,1
337,-42.300000000000075,192,1
338,-13.600000000000023,81,1
339,-25.000000000000036,127,1
340,-5.199999999999992,61,1
341,-17.900000000000027,104,1
342,-15.700000000000045,94,1
343,-32.8000000000001,169,1
344,-3.4999999999999947,52,1
345,-34.80000000000007,149,1
346,-11.500000000000021,88,1
347,-27.000000000000043,131,1
348,-22.300000000000054,132,1
349,-25.300000000000068,126,1
350,-35.20000000000011,181,1
351,-29.80000000000006,147,1
352,-9.200000000000003,93,1
353,-32.10000000000007,170,1
354,-6.599999999999994,71,1
355,-25.20000000000006,129,1
356,-25.200000000000074,149,1
357,-9.599999999999998,77,1
358,-24.100000000000065,142,1
359,-15.40000000000002,95,1
360,-16.300000000000033,104,1
361,-13.700000000000035,94,1
362,-5.899999999999993,56,1
363,-25.300000000000054,134,1
364,-13.80000000000004,95,1
365,-3.3999999999999915,55,1
366,-27.300000000000047,138,1
367,-17.100000000000044,108,1
368,-29.200000000000074,137,1
369,-10.600000000000016,79,1
370,-6.8999999999999915,70,1
371,-15.000000000000021,87,1
372,-18.80000000000004,105,1
373,-32.30000000000007,168,1
374,-17.800000000000054,111,1
375,-19.700000000000024,106,1
376,-12.500000000000007,94,1
377,-18.300000000000026,116,1
378,-3.499999999999991,56,1
379,-11.20000000000001,85,1
380,-1.099999999999996,44,1
381,-18.30000000000004,108,1
382,-21.60000000000004,117,1
383,-6.799999999999997,69,1
384,-20.70000000000003,128,1
385,-11.300000000000015,90,1
386,-7.599999999999994,77,1
387,-5.499999999999988,68,1
388,-12.40000000000001,93,1
389,-34.10000000000008,174,1
390,-7.6000000000000085,85,1
391,-11.900000000000013,104,1
392,-37.40000000000009,163,1
393,-9.000000000000004,75,1
394,-31.90000000000007,136,1
395,-21.200000000000045,105,1
396,-12.800000000000022,93,1
397,-27.600000000000044,117,1
398,-11.7,90,1
399,-20.200000000000028,103,1
400,-2.999999999999991,59,1
401,-17.000000000000036,99,1
402,-83.79999999999998,299,1
403,-15.700000000000028,102,1
404,-14.400000000000016,101,1
405,-18.500000000000032,98,1
406,-15.400000000000013,95,1
407,-1.3999999999999897,55,1
408,-12.20000000000002,95,1
409,-27.700000000000053,134,1
410,-12.40000000000002,85,1
411,-24.900000000000055,130,1
412,-24.80000000000004,105,1
413,-3.5999999999999908,61,1
414,-20.30000000000006,124,1
415,-27.100000000000065,136,1
416,-23.000000000000057,123,1
417,-51.00000000000007,199,1
418,-3.79999999999999,59,1
419,-6.3999999999999915,65,1
420,-41.70000000000008,166,1
421,-7.199999999999989,81,1
422,-2.899999999999988,62,1
423,-17.799999999999994,107,1
424,-6.29999999999999,64,1
425,-20.000000000000043,109,1
426,-11.199999999999989,81,1
427,-18.400000000000038,113,1
428,-13.900000000000027,88,1
429,-19.500000000000025,108,1
430,-4.499999999999988,70,1
431,-15.700000000000038,94,1
432,-9.000000000000014,71,1
433,-13.800000000000033,87,1
434,-6.3999999999999915,65,1
435,-14.700000000000024,108,1
436,-19.90000000000005,124,1
437,-13.100000000000023,88,1
438,-1.9999999999999893,61,1
439,-12.700000000000042,88,1
440,-33.00000000000004,143,1
441,-15.400000000000034,95,1
442,-19.400000000000052,111,1
443,0.8000000000000078,53,1
444,-7.700000000000003,82,1
445,-38.4000000000001,181,1
446,-17.700000000000045,106,1
447,-9.700000000000003,82,1
448,-36.600000000000094,167,1
449,-13.800000000000011,91,1
450,-6.8999999999999915,70,1
451,-12.000000000000021,89,1
452,-8.900000000000002,82,1
453,-11.70000000000001,78,1
454,-17.900000000000013,88,1
455,-7.599999999999998,69,1
456,-24.500000000000057,126,1
457,-14.900000000000013,94,1
458,-16.900000000000038,110,1
459,1.5000000000000018,42,1
460,-27.50000000000005,136,1
461,-5.199999999999985,69,1
462,-19.800000000000054,115,1
463,-7.099999999999987,68,1
464,-11.800000000000015,83,1
465,-19.000000000000036,107,1
466,-14.90000000000002,86,1
467,-23.30000000000006,134,1
468,-5.799999999999985,75,1
469,-12.900000000000023,94,1
470,-10.20000000000001,79,1
471,-8.899999999999991,82,1
472,-8.399999999999991,65,1
473,-16.200000000000028,91,1
474,-3.499999999999991,60,1
475,-1.2999999999999954,46,1
476,-17.80000000000003,95,1
477,-8.999999999999993,79,1
478,-12.300000000000033,80,1
479,-16.90000000000004,102,1
480,-9.300000000000004,90,1
481,-11.100000000000023,72,1
482,-51.10000000000008,212,1
483,-4.899999999999986,66,1
484,-9.999999999999993,69,1
485,-38.80000000000005,157,1
486,-4.8999999999999915,58,1
487,-20.800000000000054,109,1
488,-2.2999999999999936,52,1
489,-3.799999999999992,55,1
490,-7.599999999999991,77,1
491,1.3000000000000078,48,1
492,-40.20000000000007,163,1
493,-21.000000000000036,103,1
494,-6.899999999999995,62,1
495,-16.100000000000023,86,1
496,-22.00000000000003,105,1
497,-3.9999999999999893,57,1
498,-15.500000000000036,100,1
499,-14.400000000000027,89,1
500,-16.200000000000024,95,1
501,-17.20000000000003,97,1
502,-28.300000000000054,132,1
503,-10.900000000000006,70,1
504,-22.900000000000063,130,1
505,-7.599999999999998,73,1
506,-3.299999999999992,54,1
507,-8.200000000000006,79,1
508,-4.499999999999991,70,1
509,-2.8999999999999915,58,1
510,0.8000000000000043,41,1
511,-93.59999999999962,297,1
512,-5.2999999999999865,70,1
513,-6.299999999999994,68,1
514,-11.70000000000001,82,1
515,-11.90000000000001,76,1
516,-8.699999999999996,80,1
517,-6.599999999999994,59,1
518,-1.6999999999999957,50,1
519,-35.70000000000008,154,1
520,-10.800000000000022,69,1
521,-28.80000000000004,129,1
522,-8.900000000000002,78,1
523,-2.999999999999991,67,1
524,-12.70000000000002,76,1
525,-0.39999999999999325,49,1
526,-7.299999999999997,82,1
527,-14.000000000000025,85,1
528,-1.4999999999999947,44,1
529,-7.7000000000000135,78,1
530,-5.29999999999999,66,1
531,-4.0999999999999925,54,1
532,-9.899999999999991,72,1
533,-0.2999999999999936,52,1
534,-15.300000000000018,98,1
535,-13.100000000000001,80,1
536,-8.700000000000003,72,1
537,-13.60000000000003,85,1
538,-15.800000000000043,91,1
539,-15.300000000000026,90,1
540,-14.500000000000018,82,1
541,-15.700000000000031,98,1
542,-13.500000000000014,80,1
543,-5.999999999999993,57,1
544,-10.299999999999997,68,1
545,-10.300000000000011,80,1
546,-9.600000000000001,69,1
547,-9.800000000000004,79,1
548,-25.500000000000064,140,1
549,-10.000000000000007,85,1
550,-13.800000000000018,99,1
551,-11.999999999999993,89,1
552,-11.100000000000026,80,1
553,0.2000000000000064,43,1
554,-6.199999999999989,67,1
555,-22.200000000000053,119,1
556,-3.199999999999994,49,1
557,0.800000000000006,45,1
558,-16.500000000000036,98,1
559,-20.10000000000005,106,1
560,-9.999999999999993,81,1
561,-10.50000000000001,70,1
562,0.800000000000006,45,1
563,-15.900000000000027,112,1
564,-4.599999999999989,63,1
565,-6.3999999999999915,65,1
566,-4.8999999999999915,54,1
567,-8.900000000000006,74,1
568,-4.69999999999999,60,1
569,-15.100000000000012,88,1
570,-2.999999999999991,55,1
571,2.300000000000006,42,1
572,-5.699999999999987,74,1
573,-6.8999999999999915,66,1
574,-13.80000000000003,87,1
575,-1.0999999999999872,52,1
576,-12.40000000000001,97,1
577,-7.300000000000004,62,1
578,-7.800000000000004,67,1
579,-8.2,67,1
580,-6.699999999999996,72,1
581,-14.80000000000003,97,1
582,-6.8999999999999915,74,1
583,-3.2999999999999883,62,1
584,-24.30000000000004,112,1
585,-10.600000000000016,87,1
586,-12.800000000000011,77,1
587,-5.799999999999988,63,1
588,-11.800000000000011,103,1
589,-9.900000000000027,80,1
590,-15.500000000000007,92,1
591,-9.70000000000002,66,1
592,-5.599999999999991,61,1
593,-17.400000000000034,103,1
594,-6.099999999999991,62,1
595,-10.00000000000001,69,1
596,-9.600000000000005,69,1
597,-6.499999999999993,62,1
598,-9.699999999999996,66,1
599,-12.900000000000027,90,1
600,-5.499999999999991,64,1
601,-5.79999999999999,63,1
602,-9.800000000000008,79,1
603,-12.099999999999994,90,1
604,-1.3999999999999897,51,1
605,-5.099999999999989,64,1
606,-12.900000000000034,78,1
607,-13.400000000000034,91,1
608,-9.900000000000013,92,1
609,-5.5999999999999925,57,1
610,-8.800000000000004,73,1
611,-19.700000000000035,94,1
612,-8.599999999999994,63,1
613,-13.400000000000034,87,1
614,-11.40000000000001,91,1
615,-6.799999999999997,65,1
616,-3.2999999999999883,66,1
617,-1.499999999999993,52,1
618,-6.899999999999995,74,1
619,-12.70000000000001,88,1
620,-7.399999999999988,67,1
621,-16.000000000000014,93,1
622,-11.100000000000009,80,1
623,-13.600000000000023,85,1
624,-4.29999999999999,60,1
625,-2.3999999999999915,57,1
626,-11.600000000000001,73,1
627,-9.300000000000018,78,1
628,-1.5999999999999872,61,1
629,-28.10000000000006,134,1
630,-14.900000000000027,102,1
631,-11.800000000000011,79,1
632,1.3000000000000078,44,1
633,-22.60000000000005,123,1
634,-17.40000000000004,91,1
635,-6.999999999999993,63,1
636,-26.80000000000006,133,1
637,-2.1999999999999886,59,1
638,-9.800000000000011,71,1
639,-6.3999999999999915,65,1
640,-9.5,68,1
641,-7.699999999999999,74,1
642,-11.000000000000032,71,1
643,-13.500000000000014,84,1
644,-11.600000000000009,81,1
645,-8.699999999999996,72,1
646,-12.400000000000027,85,1
647,-6.199999999999989,59,1
648,-26.900000000000034,114,1
649,-9.40000000000002,67,1
650,-8.800000000000004,73,1
651,2.000000000000007,37,1
652,-2.699999999999992,52,1
653,-26.5,102,1
654,-20.100000000000037,110,1
655,-8.099999999999994,62,1
656,-4.199999999999992,55,1
657,-9.199999999999989,73,1
658,-6.599999999999991,67,1
659,-15.100000000000023,88,1
660,-1.8999999999999897,56,1
661,-10.500000000000014,82,1
662,-10.29999999999999,68,1
663,-3.0999999999999925,52,1
664,-1.6999999999999922,58,1
665,-1.3999999999999915,51,1
666,-8.199999999999996,71,1
667,-13.100000000000037,88,1
668,-2.6999999999999886,60,1
669,-14.499999999999996,78,1
670,-1.9999999999999947,45,1
671,-10.400000000000013,73,1
672,-10.800000000000022,81,1
673,-6.299999999999994,64,1
674,-11.20000000000002,81,1
675,-11.800000000000011,79,1
676,-1.5999999999999908,53,1
677,-4.899999999999988,62,1
678,-8.400000000000002,65,1
679,1.3000000000000043,44,1
680,-1.7999999999999936,47,1
681,-6.599999999999991,63,1
682,-20.800000000000047,109,1
683,-22.500000000000043,106,1
684,-0.29999999999999183,44,1
685,-0.8999999999999932,46,1
686,-6.699999999999992,60,1
687,-1.2999999999999918,50,1
688,-22.10000000000003,106,1
689,-6.499999999999993,62,1
690,-1.199999999999994,49,1
691,-3.899999999999986,60,1
692,-17.30000000000004,102,1
693,-17.40000000000004,87,1
694,-7.600000000000001,57,1
695,-2.6999999999999904,52,1
696,-8.699999999999992,64,1
697,-10.400000000000013,77,1
698,-10.100000000000009,70,1
699,2.0000000000000018,37,1
700,-3.9999999999999947,61,1
701,-2.8999999999999932,54,1
702,-12.10000000000002,82,1
703,-14.80000000000004,93,1
704,-9.800000000000004,63,1
705,3.2000000000000064,37,1
706,-16.500000000000036,86,1
707,-4.599999999999989,63,1
708,-14.600000000000026,83,1
709,-15.300000000000033,82,1
710,-9.599999999999994,73,1
711,-4.499999999999991,58,1
712,-10.800000000000018,69,1
713,-3.3999999999999932,51,1
714,-5.8999999999999915,64,1
715,-12.000000000000021,81,1
716,-3.1999999999999904,57,1
717,-13.500000000000028,84,1
718,-0.5999999999999961,47,1
719,-12.500000000000032,74,1
720,-14.800000000000018,81,1
721,-12.300000000000026,76,1
722,-3.599999999999989,57,1
723,-0.09999999999999254,50,1
724,-18.300000000000036,96,1
725,-27.300000000000047,114,1
726,-13.000000000000014,79,1
727,3.8000000000000043,35,1
728,-10.20000000000001,67,1
729,-2.0999999999999943,46,1
730,-0.5999999999999979,43,1
