episode,reward,steps,success
1,-1012.2000000000182,2024,1
2,-238.29999999999876,540,1
3,-1692.2999999999615,2984,1
4,-1337.6999999999784,3000,0
5,-588.9000000000104,1445,1
6,-572.9000000000079,1285,1
7,-487.30000000000643,1194,1
8,-418.4000000000033,901,1
9,-1099.0000000000032,2433,1
10,-1250.399999999992,3000,0
11,-1220.699999999998,3000,0
12,-482.2000000000069,1170,1
13,-1093.8000000000147,2759,1
14,-246.69999999999823,633,1
15,-128.09999999999917,419,1
16,-221.29999999999845,604,1
17,-213.59999999999843,563,1
18,-446.100000000005,1097,1
19,-141.89999999999898,440,1
20,-192.1999999999991,430,1
21,-264.8999999999987,716,1
22,-424.4000000000062,1132,1
23,-145.39999999999918,376,1
24,-105.39999999999972,300,1
25,-963.4000000000241,2409,1
26,-613.8000000000108,1433,1
27,-100.69999999999973,280,1
28,-203.59999999999877,490,1
29,-168.29999999999924,425,1
30,-261.7999999999985,649,1
31,-159.49999999999932,391,1
32,-327.6000000000024,938,1
33,-298.2999999999995,690,1
34,-165.799999999999,445,1
35,-227.59999999999857,577,1
36,-63.900000000000034,236,1
37,-96.6999999999997,267,1
38,-167.39999999999912,434,1
39,-260.4999999999992,627,1
40,-276.7999999999995,682,1
41,-206.999999999999,461,1
42,-310.4000000000007,757,1
43,-710.7000000000115,1547,1
44,-200.79999999999896,489,1
45,-288.59999999999997,728,1
46,-521.7000000000087,1268,1
47,-255.79999999999848,652,1
48,-277.29999999999984,759,1
49,-222.49999999999864,535,1
50,-228.09999999999854,591,1
51,-102.19999999999969,250,1
52,-329.6000000000006,841,1
53,-55.500000000000114,170,1
54,-301.29999999999995,648,1
55,-120.49999999999943,316,1
56,-202.99999999999866,547,1
57,-220.19999999999888,503,1
58,-105.09999999999971,270,1
59,-108.89999999999972,272,1
60,-347.00000000000273,799,1
61,-309.6000000000007,794,1
62,-120.89999999999955,275,1
63,-208.399999999999,466,1
64,-807.4000000000171,1956,1
65,-353.3000000000018,880,1
66,-67.80000000000001,176,1
67,-1583.9999999999604,2180,1
68,-163.59999999999906,468,1
69,-92.49999999999997,243,1
70,-461.80000000000643,1155,1
71,-346.20000000000306,872,1
72,-162.39999999999915,438,1
73,-346.90000000000094,852,1
74,-258.8999999999992,647,1
75,-298.1999999999994,770,1
76,-210.49999999999832,568,1
77,-166.19999999999897,431,1
78,-45.80000000000011,154,1
79,-110.09999999999953,293,1
80,-154.3999999999993,385,1
81,-61.30000000000011,183,1
82,-191.3999999999985,575,1
83,-601.900000000013,1593,1
84,-121.69999999999936,283,1
85,-65.49999999999997,189,1
86,-76.59999999999988,246,1
87,-143.8999999999991,406,1
88,-216.39999999999836,573,1
89,-211.19999999999834,611,1
90,-163.899999999999,444,1
91,-159.2999999999988,452,1
92,-111.5999999999994,371,1
93,-141.79999999999933,340,1
94,-136.59999999999908,405,1
95,-96.79999999999959,313,1
96,-139.29999999999905,396,1
97,-83.49999999999983,243,1
98,-148.89999999999912,375,1
99,-160.4999999999991,383,1
100,-110.29999999999961,277,1
101,-56.0000000000001,148,1
102,-108.39999999999975,240,1
103,-198.99999999999892,534,1
104,-101.1999999999998,303,1
105,-68.0,196,1
106,-116.09999999999954,317,1
107,-119.49999999999949,306,1
108,-68.10000000000005,197,1
109,-206.19999999999823,570,1
110,-77.59999999999984,229,1
111,-189.09999999999891,453,1
112,-47.30000000000008,133,1
113,-42.50000000000009,148,1
114,-212.39999999999867,542,1
115,-44.30000000000004,112,1
116,-248.49999999999852,624,1
117,-122.79999999999941,312,1
118,-93.79999999999967,220,1
119,-164.79999999999922,372,1
120,-198.19999999999888,490,1
121,-94.09999999999977,250,1
122,-107.29999999999956,247,1
123,-71.70000000000003,188,1
124,-212.699999999999,437,1
125,-87.39999999999978,228,1
126,-71.89999999999996,208,1
127,-172.49999999999898,440,1
128,-191.1999999999987,474,1
129,-250.89999999999827,657,1
130,-276.80000000000024,664,1
131,-49.900000000000105,150,1
132,-292.80000000000007,707,1
133,-157.39999999999915,397,1
134,-116.4999999999994,321,1
135,-232.2999999999982,624,1
136,-151.8999999999989,432,1
137,-209.1999999999986,546,1
138,-69.79999999999993,187,1
139,-117.29999999999954,284,1
140,-427.5000000000048,992,1
141,-393.80000000000445,1024,1
142,-120.99999999999935,357,1
143,-202.29999999999845,585,1
144,-213.59999999999835,581,1
145,-162.19999999999897,472,1
146,-321.00000000000193,872,1
147,-126.79999999999924,334,1
148,-45.300000000000104,140,1
149,-82.99999999999967,274,1
150,-442.200000000008,1274,1
151,-141.39999999999893,399,1
152,-126.09999999999951,273,1
153,-185.19999999999877,468,1
154,-105.59999999999971,230,1
155,-90.99999999999964,300,1
156,-107.69999999999939,278,1
157,-65.39999999999992,152,1
158,-93.7999999999997,220,1
159,-165.7999999999989,427,1
160,-77.59999999999994,256,1
161,-157.3999999999995,379,1
162,-82.09999999999974,202,1
163,-63.89999999999999,173,1
164,-73.79999999999991,227,1
165,-174.8999999999991,446,1
166,-367.50000000000364,896,1
167,-159.99999999999906,405,1
168,-41.50000000000007,111,1
169,-53.100000000000094,137,1
170,-71.49999999999987,177,1
171,-186.99999999999866,504,1
172,-45.50000000000012,169,1
173,-143.8999999999989,397,1
174,-89.09999999999987,236,1
175,-100.09999999999965,256,1
176,-174.59999999999923,362,1
177,-131.59999999999934,292,1
178,-40.800000000000075,113,1
179,-107.69999999999976,233,1
180,-58.200000000000074,143,1
181,-22.200000000000024,80,1
182,-127.99999999999957,256,1
183,-30.20000000000008,106,1
184,-59.799999999999955,177,1
185,-128.7999999999994,336,1
186,-196.89999999999912,423,1
187,-108.09999999999972,246,1
188,-54.40000000000009,159,1
189,-114.7999999999994,313,1
190,-59.600000000000065,184,1
191,-364.20000000000186,872,1
192,-113.39999999999966,227,1
193,-163.69999999999922,397,1
194,-40.00000000000008,123,1
195,-112.49999999999952,281,1
196,-147.09999999999897,393,1
197,-96.89999999999955,260,1
198,-91.29999999999981,231,1
199,-196.29999999999873,480,1
200,-297.80000000000007,721,1
201,-122.49999999999952,273,1
202,-98.69999999999959,242,1
203,-142.69999999999925,340,1
204,-200.29999999999873,493,1
205,-361.7000000000019,793,1
206,-309.6000000000007,713,1
207,-402.4000000000051,993,1
208,-115.7999999999993,350,1
209,-121.19999999999939,359,1
210,-243.39999999999858,555,1
211,-328.1000000000013,799,1
212,-77.79999999999994,231,1
213,-423.10000000000343,1056,1
214,-188.99999999999838,533,1
215,-55.100000000000094,175,1
216,-189.39999999999898,501,1
217,-140.79999999999927,330,1
218,-34.30000000000009,129,1
219,-189.59999999999877,449,1
220,-63.7,171,1
221,-131.69999999999894,374,1
222,-26.300000000000047,85,1
223,-47.10000000000008,113,1
224,-39.80000000000008,130,1
225,-142.29999999999913,363,1
226,-44.10000000000009,128,1
227,-91.19999999999978,248,1
228,-610.6000000000124,1563,1
229,-75.99999999999979,258,1
230,-62.79999999999997,198,1
231,-77.79999999999991,231,1
232,-36.20000000000007,112,1
233,-79.19999999999972,200,1
234,-109.29999999999961,276,1
235,-232.59999999999866,537,1
236,-134.29999999999956,346,1
237,-150.59999999999894,446,1
238,-43.500000000000085,131,1
239,-83.19999999999972,213,1
240,-97.89999999999955,261,1
241,-208.49999999999795,602,1
242,-157.19999999999908,440,1
243,-118.69999999999933,334,1
244,-167.99999999999898,386,1
245,-188.7999999999986,513,1
246,-73.79999999999991,218,1
247,-121.39999999999947,280,1
248,-93.19999999999969,232,1
249,-88.39999999999979,175,1
250,-42.70000000000006,105,1
251,-304.800000000001,737,1
252,-170.7999999999992,441,1
253,-68.8999999999999,187,1
254,-10.20000000000001,50,1
255,-117.89999999999958,308,1
256,-150.09999999999926,369,1
257,-113.89999999999958,232,1
258,-60.60000000000011,185,1
259,-165.89999999999898,374,1
260,-98.49999999999977,213,1
261,-142.19999999999925,317,1
262,-54.2000000000001,157,1
263,-79.29999999999991,210,1
264,-132.69999999999948,294,1
265,-133.69999999999933,349,1
266,-126.69999999999948,288,1
267,-103.2999999999997,207,1
268,-134.99999999999943,281,1
269,-105.09999999999964,234,1
270,-86.79999999999964,231,1
271,-90.29999999999977,203,1
272,-112.89999999999966,285,1
273,-195.59999999999906,473,1
274,-118.59999999999957,306,1
275,-53.0000000000001,145,1
276,-220.0999999999985,574,1
277,-114.29999999999944,317,1
278,-135.399999999999,402,1
279,-89.19999999999982,228,1
280,-77.39999999999999,218,1
281,-44.300000000000075,130,1
282,-50.000000000000064,115,1
283,-91.5999999999998,180,1
284,-133.29999999999922,363,1
285,-60.300000000000054,164,1
286,-85.89999999999988,258,1
287,-80.29999999999981,193,1
288,-333.500000000001,799,1
289,-151.49999999999903,455,1
290,-88.69999999999972,196,1
291,-140.19999999999936,315,1
292,-377.60000000000343,997,1
293,-97.59999999999964,231,1
294,-74.49999999999983,180,1
295,-97.9999999999998,217,1
296,-197.19999999999905,480,1
297,-108.89999999999961,344,1
298,-170.899999999999,406,1
299,-230.99999999999844,575,1
300,-115.19999999999948,290,1
301,-180.59999999999886,440,1
302,-188.69999999999922,404,1
303,-480.70000000000874,1281,1
304,-41.10000000000009,125,1
305,-99.69999999999962,288,1
306,-18.200000000000014,76,1
307,-126.89999999999955,290,1
308,-62.89999999999998,181,1
309,-84.09999999999981,240,1
310,-128.6999999999995,308,1
311,-76.59999999999982,192,1
312,-191.49999999999895,459,1
313,-536.200000000008,1269,1
314,-37.8000000000001,137,1
315,-81.59999999999971,242,1
316,-35.60000000000005,97,1
317,-217.59999999999874,513,1
318,-80.49999999999989,195,1
319,-118.69999999999936,334,1
320,-63.30000000000007,194,1
321,-40.800000000000104,149,1
322,-56.300000000000125,214,1
323,-109.19999999999953,266,1
324,-109.09999999999953,283,1
325,-144.79999999999916,406,1
326,-48.30000000000012,152,1
327,-104.8999999999995,250,1
328,-142.29999999999907,381,1
329,-61.30000000000004,165,1
330,-155.39999999999924,332,1
331,-30.50000000000007,100,1
332,-181.09999999999903,445,1
333,-111.99999999999923,330,1
334,-171.19999999999908,418,1
335,-56.30000000000011,160,1
336,-70.29999999999993,228,1
337,-150.29999999999905,398,1
338,-86.99999999999991,206,1
339,-55.70000000000017,199,1
340,-195.99999999999878,477,1
341,-68.09999999999991,179,1
342,-55.000000000000085,147,1
343,-118.59999999999931,324,1
344,-161.2999999999992,391,1
345,-71.49999999999997,231,1
346,-68.89999999999995,187,1
347,-70.1999999999999,191,1
348,-129.9999999999992,366,1
349,-71.39999999999992,185,1
350,-51.500000000000114,148,1
351,-57.600000000000136,191,1
352,-122.39999999999947,281,1
353,-110.99999999999952,320,1
354,-137.7999999999991,381,1
355,-63.5000000000001,169,1
356,-100.39999999999958,277,1
357,-149.39999999999915,380,1
358,-134.4999999999993,321,1
359,-51.30000000000012,155,1
360,-92.09999999999974,284,1
361,-62.700000000000045,188,1
362,-147.6999999999992,345,1
363,-102.99999999999973,267,1
364,-316.60000000000053,738,1
365,-116.19999999999928,336,1
366,-169.19999999999916,398,1
367,-149.69999999999928,347,1
368,-181.6999999999987,478,1
369,-158.89999999999907,403,1
370,-110.29999999999914,340,1
371,-138.39999999999912,378,1
372,-145.29999999999913,429,1
373,-88.19999999999962,272,1
374,-123.89999999999918,359,1
375,-72.79999999999987,217,1
376,-126.29999999999919,455,1
377,-150.19999999999942,316,1
378,-87.19999999999978,199,1
379,-76.6999999999998,256,1
380,-137.6999999999989,434,1
381,-93.29999999999981,269,1
382,-105.49999999999955,265,1
383,-106.29999999999959,264,1
384,-121.69999999999925,355,1
385,-47.80000000000014,183,1
386,-106.49999999999943,293,1
387,-58.500000000000114,182,1
388,-31.200000000000067,98,1
389,-131.899999999999,349,1
390,-99.29999999999956,257,1
391,-149.4999999999991,444,1
392,-128.19999999999928,384,1
393,-109.79999999999956,308,1
394,-78.19999999999965,199,1
395,-120.29999999999941,287,1
396,-82.09999999999985,238,1
397,-40.40000000000006,100,1
398,-355.0000000000029,1023,1
399,-28.800000000000068,119,1
400,-74.39999999999984,179,1
401,-146.59999999999917,397,1
402,-80.19999999999973,228,1
403,-118.59999999999943,315,1
404,-97.59999999999965,249,1
405,-70.49999999999997,221,1
406,-85.99999999999986,250,1
407,-71.79999999999983,216,1
408,-102.29999999999959,341,1
409,-29.60000000000008,109,1
410,-169.39999999999878,490,1
411,-89.2999999999994,238,1
412,-101.89999999999961,283,1
413,-86.49999999999979,291,1
414,-143.89999999999904,370,1
415,-167.89999999999856,493,1
416,-159.49999999999883,454,1
417,-156.3999999999991,396,1
418,-169.39999999999873,445,1
419,-149.99999999999878,431,1
420,-116.7999999999993,306,1
421,-151.39999999999912,391,1
422,-154.39999999999887,484,1
423,-90.19999999999965,256,1
424,-114.2999999999992,353,1
425,-137.29999999999887,394,1
426,-50.700000000000145,176,1
427,-70.59999999999995,213,1
428,-385.40000000000384,859,1
429,-33.20000000000007,118,1
430,-110.79999999999936,336,1
431,-243.199999999998,670,1
432,-70.09999999999991,199,1
433,-170.4999999999991,393,1
434,-114.09999999999943,279,1
435,-317.6000000000014,901,1
436,-130.19999999999922,323,1
437,-119.79999999999953,255,1
438,-39.700000000000074,111,1
439,-49.20000000000009,134,1
440,-49.3000000000001,135,1
441,-95.29999999999971,280,1
442,-22.30000000000004,81,1
443,-248.19999999999789,684,1
444,-129.59999999999928,389,1
445,-109.99999999999969,292,1
446,-166.79999999999902,455,1
447,-64.00000000000003,183,1
448,-13.500000000000021,83,1
449,-76.69999999999989,202,1
450,-204.19999999999848,568,1
451,-27.800000000000075,100,1
452,-163.29999999999905,411,1
453,-95.99999999999979,269,1
454,-130.19999999999942,305,1
455,-141.49999999999937,328,1
456,-153.0999999999996,363,1
457,-65.79999999999993,174,1
458,-69.09999999999997,198,1
459,-169.69999999999945,376,1
460,-132.1999999999994,280,1
461,-101.49999999999974,261,1
462,-95.5999999999997,238,1
463,-110.0999999999995,275,1
464,-147.09999999999937,366,1
465,-104.89999999999944,286,1
466,-47.40000000000009,134,1
467,-113.6999999999996,266,1
468,-96.19999999999968,235,1
469,-57.60000000000011,182,1
470,-83.89999999999984,238,1
471,-477.80000000000604,1108,1
472,-30.90000000000009,113,1
473,-52.90000000000009,135,1
474,-166.9999999999989,457,1
475,-105.09999999999962,288,1
476,-45.80000000000011,136,1
477,-140.59999999999945,337,1
478,-146.79999999999905,417,1
479,-115.19999999999946,281,1
480,-188.49999999999912,393,1
481,-44.9000000000001,136,1
482,-181.19999999999882,446,1
483,-121.89999999999932,285,1
484,-130.29999999999941,324,1
485,-239.89999999999856,565,1
486,-91.7999999999997,272,1
487,-43.80000000000013,152,1
488,-71.49999999999983,204,1
489,-170.19999999999894,471,1
490,-75.39999999999985,180,1
491,-263.59999999999945,586,1
492,-63.5,142,1
493,-85.29999999999961,252,1
494,-124.19999999999945,371,1
495,-89.49999999999974,249,1
496,-81.99999999999973,219,1
497,-54.100000000000094,138,1
498,-51.800000000000104,160,1
499,-56.10000000000011,158,1
500,-94.6999999999995,256,1
