episode,reward,steps,success,epsilon
1,-147.9999999999994,500,0,0.995
2,-128.79999999999936,500,0,0.990025
3,-125.59999999999943,500,0,0.985074875
4,-83.89999999999975,360,1,0.9801495006250001
5,-123.59999999999935,500,0,0.9752487531218751
6,-60.60000000000004,267,1,0.9703725093562657
7,-127.19999999999914,500,0,0.9655206468094844
8,-125.99999999999946,500,0,0.960693043575437
9,-136.79999999999922,500,0,0.9558895783575597
10,-135.99999999999926,500,0,0.9511101304657719
11,-23.00000000000005,131,1,0.946354579813443
12,-105.09999999999954,404,1,0.9416228069143757
13,-119.19999999999942,500,0,0.9369146928798039
14,-123.19999999999929,500,0,0.9322301194154049
15,-188.39999999999972,500,0,0.9275689688183278
16,-121.99999999999922,500,0,0.9229311239742362
17,-109.59999999999947,500,0,0.918316468354365
18,-109.19999999999949,500,0,0.9137248860125932
19,-109.99999999999955,500,0,0.9091562615825302
20,-114.39999999999944,500,0,0.9046104802746175
21,-113.59999999999923,500,0,0.9000874278732445
22,-115.59999999999934,500,0,0.8955869907338783
23,-146.3999999999992,500,0,0.8911090557802088
24,-93.19999999999942,405,1,0.8866535105013078
25,-128.7999999999993,500,0,0.8822202429488013
26,-122.39999999999932,500,0,0.8778091417340573
27,-126.39999999999912,500,0,0.8734200960253871
28,-116.79999999999919,500,0,0.8690529955452602
29,-127.19999999999922,500,0,0.8647077305675338
30,-28.10000000000006,138,1,0.8603841919146962
31,-118.39999999999924,500,0,0.8560822709551227
32,-17.000000000000025,111,1,0.851801859600347
33,-127.99999999999926,500,0,0.8475428503023453
34,-112.79999999999947,500,0,0.8433051360508336
35,-117.59999999999943,500,0,0.8390886103705794
36,-116.3999999999995,500,0,0.8348931673187264
37,-106.39999999999937,500,0,0.8307187014821328
38,-109.99999999999937,500,0,0.8265651079747222
39,-44.6000000000001,231,1,0.8224322824348486
40,-115.1999999999995,500,0,0.8183201210226743
41,-103.99999999999949,500,0,0.8142285204175609
42,-104.39999999999931,500,0,0.810157377815473
43,-103.99999999999936,500,0,0.8061065909263957
44,-113.1999999999997,500,0,0.8020760579717637
45,-95.59999999999958,500,0,0.798065677681905
46,-98.39999999999945,500,0,0.7940753492934954
47,-95.99999999999949,500,0,0.7901049725470279
48,-93.19999999999948,449,1,0.7861544476842928
49,-106.7999999999993,500,0,0.7822236754458713
50,-107.59999999999953,500,0,0.778312557068642
51,-98.39999999999961,500,0,0.7744209942832988
52,-103.19999999999933,500,0,0.7705488893118823
