episode,reward,steps,success
1,-884.9000000000184,2000,0
2,-908.300000000019,2000,0
3,-970.4000000000195,2000,0
4,-853.4000000000202,2000,0
5,-841.7000000000183,2000,0
6,-863.3000000000176,2000,0
7,-839.9000000000203,2000,0
8,-153.19999999999928,400,1
9,-320.1000000000007,773,1
10,-236.89999999999893,490,1
11,-231.29999999999868,560,1
12,-578.1000000000088,1418,1
13,-673.2000000000133,1649,1
14,-298.3000000000005,753,1
15,-809.3000000000196,2000,0
16,-830.9000000000194,2000,0
17,-51.10000000000014,180,1
18,-798.5000000000207,2000,0
19,-349.8000000000018,854,1
20,-773.3000000000181,2000,0
21,-752.6000000000189,2000,0
22,-647.7000000000143,1619,1
23,-194.2999999999988,541,1
24,-651.0000000000133,1634,1
25,-271.19999999999965,635,1
26,-290.9999999999999,815,1
27,-674.6000000000153,1753,1
28,-252.6999999999984,666,1
29,-293.5,786,1
30,-137.1999999999993,375,1
31,-235.29999999999836,636,1
32,-475.60000000000497,1185,1
33,-231.79999999999862,556,1
34,-244.39999999999867,565,1
35,-108.79999999999933,343,1
36,-371.70000000000306,992,1
37,-275.29999999999916,685,1
38,-463.3000000000046,1143,1
39,-475.4000000000065,1219,1
40,-358.100000000003,901,1
41,-97.19999999999982,236,1
42,-448.6000000000049,1104,1
43,-375.40000000000146,984,1
44,-838.1000000000192,2000,0
45,-425.2000000000043,1068,1
46,-758.9000000000193,2000,0
47,-449.1000000000055,1136,1
48,-723.8000000000168,2000,0
49,-626.2000000000121,1602,1
50,-469.60000000000684,1323,1
51,-179.09999999999891,506,1
52,-325.1000000000013,814,1
53,-343.80000000000166,992,1
54,-267.3999999999989,660,1
55,-269.9999999999991,785,1
56,-238.2999999999986,594,1
57,-332.00000000000097,721,1
58,-179.49999999999912,429,1
59,-408.20000000000476,1060,1
60,-202.89999999999878,555,1
61,-542.9000000000084,1309,1
62,-548.2000000000094,1389,1
63,-220.59999999999863,543,1
64,-760.7000000000195,2000,0
65,-765.1000000000153,1821,1
66,-209.39999999999898,476,1
67,-809.3000000000172,2000,0
68,-433.0000000000036,1038,1
69,-383.10000000000235,872,1
70,-118.19999999999953,320,1
71,-220.99999999999866,547,1
72,-194.49999999999903,435,1
73,-51.00000000000011,161,1
74,-473.5000000000065,1236,1
75,-508.50000000000705,1271,1
76,-297.9,740,1
77,-131.19999999999948,351,1
78,-96.49999999999979,247,1
79,-210.39999999999878,531,1
80,-298.49999999999955,728,1
81,-232.39999999999816,661,1
82,-275.7999999999995,690,1
83,-414.30000000000376,977,1
84,-500.90000000000794,1195,1
85,-106.69999999999968,268,1
86,-349.1000000000023,883,1
87,-46.80000000000008,146,1
88,-215.6999999999988,539,1
89,-624.500000000015,1684,1
90,-355.20000000000266,935,1
91,-66.69999999999999,183,1
92,-854.3000000000186,2000,0
93,-128.89999999999955,328,1
94,-224.09999999999866,542,1
95,-116.29999999999953,319,1
96,-222.79999999999853,565,1
97,-115.49999999999972,275,1
98,-196.69999999999877,475,1
99,-142.79999999999947,368,1
100,-166.9999999999991,448,1
101,-222.0999999999983,621,1
102,-269.5999999999985,646,1
103,-240.39999999999807,642,1
104,-93.19999999999985,223,1
105,-191.99999999999895,437,1
106,-137.19999999999968,303,1
107,-96.19999999999982,199,1
108,-337.0000000000017,825,1
109,-286.2999999999988,714,1
110,-57.8000000000001,157,1
111,-358.2000000000015,920,1
112,-83.69999999999987,236,1
113,-139.49999999999952,344,1
114,-530.7000000000078,1259,1
115,-267.6999999999991,645,1
116,-45.90000000000011,155,1
117,-132.49999999999946,337,1
118,-109.99999999999973,256,1
119,-60.099999999999994,189,1
120,-154.29999999999922,393,1
121,-232.7999999999985,575,1
122,-188.399999999999,446,1
123,-150.69999999999925,402,1
124,-138.89999999999912,374,1
125,-253.99999999999864,607,1
126,-317.3000000000006,826,1
127,-154.99999999999923,382,1
128,-154.09999999999934,373,1
129,-98.79999999999981,243,1
130,-221.19999999999877,540,1
131,-119.89999999999961,274,1
132,-78.39999999999995,183,1
133,-187.19999999999902,425,1
134,-52.70000000000008,142,1
135,-117.69999999999963,261,1
136,-122.39999999999947,308,1
137,-111.8999999999995,311,1
138,-386.1000000000038,1046,1
139,-470.9000000000075,1192,1
140,-350.0000000000018,910,1
141,-248.89999999999827,664,1
142,-51.000000000000085,170,1
143,-32.80000000000005,105,1
144,-77.99999999999987,206,1
145,-179.89999999999878,478,1
146,-149.699999999999,401,1
