episode,reward,steps,success
1,-141.59999999999928,500,0
2,-123.99999999999932,500,0
3,-131.99999999999943,500,0
4,-136.7999999999993,500,0
5,-134.79999999999941,500,0
6,-111.59999999999951,500,0
7,-72.50000000000004,318,1
8,-77.29999999999977,354,1
9,-53.60000000000021,297,1
10,-123.1999999999994,500,0
11,-101.79999999999961,399,1
12,-139.99999999999932,500,0
13,-140.79999999999953,500,0
14,-130.7999999999992,500,0
15,-123.19999999999945,500,0
16,-127.19999999999911,500,0
17,-153.19999999999942,500,0
18,-102.59999999999974,419,1
19,-87.49999999999955,408,1
20,-118.39999999999931,500,0
21,-98.49999999999955,478,1
22,-104.29999999999964,412,1
23,-117.19999999999929,500,0
24,-123.59999999999937,500,0
25,-59.20000000000016,329,1
26,-126.79999999999936,500,0
27,-54.900000000000176,274,1
28,-57.10000000000008,244,1
29,-118.39999999999948,500,0
30,-123.59999999999948,500,0
31,-97.59999999999943,489,1
32,-125.59999999999953,500,0
33,-103.69999999999939,482,1
34,-122.79999999999944,500,0
35,-118.79999999999922,500,0
36,-117.99999999999915,500,0
37,-122.39999999999927,500,0
38,-115.99999999999922,500,0
39,-124.39999999999952,500,0
40,-65.80000000000003,311,1
41,-34.300000000000146,196,1
42,-48.800000000000196,257,1
43,-100.49999999999945,458,1
44,-82.79999999999967,385,1
45,-126.79999999999916,500,0
46,-135.19999999999885,500,0
47,-63.39999999999992,295,1
48,-131.59999999999926,500,0
49,-99.89999999999935,472,1
50,-129.99999999999932,500,0
51,-124.79999999999934,500,0
52,-128.39999999999927,500,0
53,-58.700000000000045,236,1
54,-117.99999999999935,500,0
55,-134.7999999999992,500,0
56,-128.3999999999993,500,0
57,-54.30000000000021,292,1
58,-68.99999999999997,335,1
59,-113.99999999999928,473,1
60,-41.40000000000012,211,1
61,-119.39999999999944,463,1
62,-140.79999999999936,500,0
63,-94.59999999999965,423,1
64,-128.79999999999959,500,0
65,-30.90000000000007,170,1
66,-59.500000000000114,292,1
67,-74.49999999999982,314,1
68,-58.30000000000015,312,1
69,-54.70000000000016,252,1
70,-52.000000000000185,269,1
71,-145.19999999999928,500,0
72,-127.1999999999991,500,0
73,-119.99999999999946,500,0
74,-123.59999999999945,500,0
75,-126.3999999999993,500,0
76,-129.19999999999928,500,0
77,-93.79999999999959,431,1
78,-94.69999999999973,368,1
79,-37.50000000000008,188,1
80,-125.1999999999993,500,0
81,-116.39999999999921,500,0
82,-83.09999999999977,320,1
83,-130.3999999999994,500,0
84,-52.800000000000246,313,1
85,-10.400000000000006,77,1
86,-102.09999999999934,402,1
87,-122.79999999999926,500,0
88,-33.700000000000124,186,1
89,-80.59999999999991,379,1
90,-120.3999999999991,500,0
91,-86.29999999999961,388,1
92,-132.79999999999933,500,0
93,-121.59999999999926,500,0
94,-58.200000000000045,267,1
95,-131.9999999999992,500,0
96,-33.8000000000001,187,1
97,-124.39999999999941,500,0
98,-39.50000000000014,236,1
99,-69.19999999999995,309,1
100,-105.2999999999994,474,1
101,-74.99999999999979,363,1
102,-82.2999999999998,352,1
103,-58.500000000000114,278,1
104,-87.09999999999974,352,1
105,-124.79999999999936,500,0
106,-49.50000000000013,220,1
107,-69.0,335,1
108,-92.89999999999961,434,1
109,-71.39999999999998,347,1
110,-122.39999999999941,500,0
111,-79.49999999999982,312,1
112,-119.19999999999925,500,0
113,-51.70000000000012,230,1
114,-59.5000000000001,276,1
115,-87.69999999999976,390,1
116,-29.10000000000006,136,1
117,-141.19999999999908,500,0
118,-47.00000000000009,215,1
119,-127.59999999999948,500,0
120,-26.800000000000047,161,1
121,-71.29999999999994,270,1
122,-123.1999999999993,500,0
123,-77.39999999999976,335,1
124,-122.7999999999992,500,0
125,-124.79999999999927,500,0
126,-30.700000000000045,136,1
127,-108.99999999999947,451,1
128,-40.80000000000016,225,1
129,-10.0,85,1
130,-151.1999999999992,500,0
131,-35.10000000000008,160,1
132,-136.39999999999927,500,0
133,-12.300000000000015,88,1
134,-148.7999999999992,500,0
135,-122.7999999999993,500,0
136,-95.09999999999954,400,1
137,-87.69999999999976,378,1
138,-15.200000000000017,105,1
139,-110.49999999999935,474,1
140,-64.40000000000003,269,1
141,-52.300000000000175,244,1
142,-93.49999999999966,360,1
143,-82.09999999999971,334,1
144,-134.3999999999991,500,0
145,-60.89999999999999,254,1
146,-58.10000000000011,278,1
147,-118.3999999999991,500,0
148,-118.3999999999991,500,0
149,-51.70000000000012,242,1
150,-28.800000000000082,161,1
151,-26.600000000000072,139,1
152,-185.99999999999963,500,0
153,-39.20000000000009,189,1
154,-112.79999999999922,500,0
155,-123.99999999999926,500,0
156,-76.09999999999994,350,1
157,-127.99999999999923,500,0
158,-118.79999999999933,500,0
159,-134.39999999999927,500,0
160,-65.59999999999997,305,1
161,-130.79999999999927,500,0
162,-80.79999999999977,365,1
163,-41.5000000000001,200,1
164,-150.39999999999952,500,0
165,-134.39999999999915,500,0
166,-73.49999999999989,344,1
167,-63.30000000000004,266,1
168,-112.09999999999954,410,1
169,-87.09999999999978,360,1
170,-79.69999999999978,302,1
171,-133.19999999999916,500,0
172,-42.100000000000094,206,1
173,-42.70000000000008,188,1
174,-35.90000000000012,204,1
175,-72.79999999999987,333,1
176,-106.09999999999948,446,1
177,-205.1999999999996,500,0
178,-103.5999999999994,429,1
179,-15.900000000000027,112,1
180,-119.69999999999942,450,1
181,-27.900000000000063,144,1
182,-70.09999999999987,278,1
183,-114.19999999999933,439,1
184,-77.19999999999987,285,1
185,-115.29999999999964,454,1
186,-49.500000000000085,216,1
187,-51.700000000000124,230,1
188,-15.70000000000001,90,1
189,-103.69999999999985,326,1
190,-33.50000000000009,164,1
191,-53.700000000000095,234,1
192,-36.70000000000009,168,1
193,-200.79999999999973,500,0
194,-63.00000000000003,267,1
195,-31.500000000000092,172,1
196,-51.30000000000009,202,1
197,-201.5999999999997,500,0
198,-63.0,263,1
199,-47.70000000000016,238,1
200,-207.99999999999963,500,0
201,-13.600000000000016,93,1
202,-116.79999999999949,500,0
203,-24.70000000000006,144,1
204,-21.500000000000043,124,1
205,-62.39999999999999,277,1
206,-33.10000000000006,148,1
207,-197.1999999999995,500,0
208,-5.399999999999988,67,1
209,-53.400000000000155,243,1
210,-26.400000000000063,137,1
211,-14.300000000000022,104,1
212,-45.40000000000013,211,1
213,-22.20000000000003,115,1
214,-15.300000000000036,86,1
215,-72.59999999999988,271,1
216,-207.99999999999966,500,0
217,-208.39999999999975,500,0
218,-21.10000000000004,112,1
219,-195.1999999999996,500,0
220,-47.100000000000115,196,1
221,-53.90000000000013,240,1
222,-31.40000000000005,135,1
223,-55.50000000000006,204,1
224,-21.800000000000054,127,1
225,-34.60000000000006,155,1
226,-198.7999999999997,500,0
227,-101.79999999999953,363,1
228,-135.49999999999955,424,1
229,-25.700000000000045,138,1
230,-59.200000000000045,237,1
231,-70.89999999999995,286,1
232,-43.10000000000009,204,1
233,-6.9999999999999964,71,1
234,-45.70000000000009,194,1
235,-38.00000000000005,161,1
236,-63.7,246,1
237,-169.1999999999991,500,0
238,-22.300000000000047,132,1
239,-16.200000000000017,87,1
240,-111.89999999999935,404,1
241,-18.600000000000048,107,1
242,-32.00000000000006,145,1
243,-50.200000000000074,203,1
244,-95.0999999999996,384,1
245,-55.40000000000009,211,1
246,-61.00000000000006,287,1
247,-8.900000000000013,78,1
248,-47.1000000000001,216,1
249,-30.50000000000005,150,1
250,-55.500000000000085,236,1
251,-52.00000000000011,225,1
252,-63.19999999999996,269,1
253,-194.79999999999967,500,0
254,-202.7999999999997,500,0
255,-131.9999999999994,477,1
256,-17.200000000000017,105,1
257,-41.800000000000075,179,1
258,-63.50000000000004,248,1
259,-17.800000000000033,107,1
260,-5.199999999999989,69,1
261,-9.800000000000011,87,1
262,-206.79999999999967,500,0
263,-21.70000000000003,110,1
264,-45.400000000000055,179,1
265,-23.200000000000067,141,1
266,-22.70000000000003,116,1
267,-48.300000000000075,188,1
268,-33.90000000000009,156,1
269,-10.900000000000002,86,1
270,-10.100000000000001,70,1
271,-39.00000000000007,167,1
272,-77.09999999999972,328,1
273,-189.99999999999952,500,0
274,-194.79999999999956,500,0
275,-15.700000000000006,98,1
276,-80.09999999999972,342,1
277,-23.100000000000037,128,1
278,-46.60000000000012,207,1
279,-29.200000000000045,121,1
280,-4.399999999999993,65,1
281,-153.99999999999932,489,1
282,-191.59999999999954,500,0
283,-187.5999999999995,500,0
284,-185.19999999999953,500,0
285,-78.59999999999985,263,1
286,-63.30000000000001,234,1
287,-34.500000000000085,162,1
288,-34.00000000000007,169,1
289,-105.79999999999941,379,1
290,-1.199999999999994,49,1
291,-42.20000000000011,203,1
292,-151.5999999999992,500,0
293,-28.500000000000064,154,1
294,-37.20000000000008,169,1
295,-22.90000000000004,122,1
296,-14.100000000000016,94,1
297,-189.1999999999995,500,0
298,-19.600000000000023,97,1
299,-34.80000000000009,165,1
300,-183.99999999999952,500,0
301,-180.7999999999994,500,0
302,-23.30000000000004,126,1
303,-30.000000000000064,149,1
304,-16.900000000000013,90,1
305,-44.20000000000008,187,1
306,-79.59999999999982,293,1
307,-149.5999999999992,500,0
308,-14.100000000000005,94,1
309,-32.900000000000055,162,1
310,-99.49999999999957,332,1
311,-139.89999999999935,460,1
312,-71.09999999999995,292,1
313,-163.19999999999936,500,0
314,-5.299999999999988,62,1
315,-22.40000000000005,137,1
316,-26.900000000000034,138,1
317,-22.900000000000027,110,1
318,-37.80000000000005,167,1
319,-14.900000000000023,106,1
320,-30.100000000000044,154,1
