episode,reward,steps,success
1,-125.19999999999922,500,0
2,-147.59999999999928,500,0
3,-123.99999999999913,500,0
4,-135.5999999999995,500,0
5,-91.8999999999998,380,1
6,-17.700000000000028,114,1
7,-133.9999999999992,500,0
8,-124.79999999999913,500,0
9,-128.7999999999993,500,0
10,-40.0000000000001,205,1
11,-132.79999999999936,500,0
12,-118.39999999999941,500,0
13,-127.19999999999938,500,0
14,-86.39999999999979,349,1
15,-129.5999999999993,500,0
16,-70.30000000000005,332,1
17,-126.79999999999902,500,0
18,-127.19999999999914,500,0
19,-126.39999999999911,500,0
20,-125.19999999999919,500,0
21,-114.39999999999938,500,0
22,-119.99999999999928,500,0
23,-120.39999999999938,500,0
24,-129.99999999999943,500,0
25,-97.59999999999951,425,1
26,-120.7999999999993,500,0
27,-128.39999999999904,500,0
28,-117.99999999999946,500,0
29,-119.99999999999933,500,0
30,-123.19999999999939,500,0
31,-124.3999999999994,500,0
32,-68.60000000000011,319,1
33,-125.59999999999923,500,0
34,-114.79999999999926,500,0
35,-125.19999999999942,500,0
36,-137.99999999999915,500,0
37,-121.99999999999946,500,0
38,-117.59999999999931,500,0
39,-121.19999999999919,500,0
40,-62.600000000000065,323,1
41,-88.49999999999976,406,1
42,-125.19999999999919,500,0
43,-126.39999999999938,500,0
44,-126.79999999999951,500,0
45,-117.59999999999935,500,0
46,-117.19999999999948,500,0
47,-109.19999999999959,500,0
48,-120.79999999999944,500,0
49,-110.3999999999993,500,0
50,-118.79999999999933,500,0
51,-124.79999999999922,500,0
52,-123.59999999999916,500,0
53,-111.99999999999946,500,0
54,-106.79999999999959,500,0
55,-113.19999999999916,500,0
56,-105.1999999999994,500,0
57,-109.19999999999953,500,0
58,-121.19999999999936,500,0
59,-123.19999999999916,500,0
60,-116.79999999999944,500,0
61,-108.39999999999955,500,0
62,-117.5999999999994,500,0
63,-102.79999999999941,500,0
64,-109.5999999999992,500,0
65,-118.39999999999942,500,0
66,-121.59999999999928,500,0
67,-120.39999999999924,500,0
68,-109.19999999999933,500,0
69,-113.59999999999931,500,0
70,-117.19999999999922,500,0
71,-120.79999999999936,500,0
72,-121.5999999999994,500,0
73,-109.5999999999996,500,0
74,-123.99999999999909,500,0
75,-124.79999999999934,500,0
76,-120.39999999999918,500,0
77,-138.39999999999918,500,0
78,-122.39999999999938,500,0
79,-111.19999999999912,500,0
80,-40.20000000000015,227,1
81,-114.79999999999941,500,0
82,-108.39999999999935,500,0
83,-65.09999999999991,344,1
84,-125.99999999999926,500,0
85,-111.19999999999922,500,0
86,-113.19999999999916,500,0
87,-127.59999999999914,500,0
88,-122.39999999999924,500,0
89,-51.400000000000176,255,1
90,-57.000000000000114,299,1
91,-58.50000000000014,270,1
92,-106.39999999999921,493,1
93,-59.70000000000009,254,1
94,-112.79999999999929,500,0
95,-104.99999999999922,499,1
96,-40.00000000000011,205,1
97,-88.29999999999963,416,1
98,-127.19999999999933,500,0
99,-89.49999999999964,444,1
100,-104.4999999999994,426,1
101,-81.59999999999977,393,1
102,-88.09999999999965,438,1
103,-55.60000000000018,265,1
104,-31.800000000000118,191,1
105,-41.800000000000125,203,1
106,-52.30000000000015,244,1
107,-89.59999999999948,425,1
108,-76.99999999999972,375,1
109,-40.900000000000084,198,1
110,-18.00000000000002,117,1
111,-43.00000000000016,235,1
112,-55.600000000000136,273,1
113,-25.500000000000078,156,1
114,-101.09999999999964,428,1
115,-91.7999999999996,423,1
116,-69.69999999999997,342,1
117,-31.200000000000088,157,1
118,-134.79999999999907,500,0
119,-103.49999999999945,456,1
120,-25.60000000000006,145,1
121,-52.8000000000002,253,1
122,-59.00000000000013,299,1
123,-39.000000000000114,191,1
124,-37.900000000000084,168,1
125,-99.7999999999995,467,1
126,-30.10000000000008,150,1
127,-74.29999999999984,368,1
128,-125.5999999999994,500,0
129,-87.79999999999954,355,1
130,-86.39999999999974,345,1
131,-16.80000000000005,97,1
132,-89.89999999999962,384,1
133,-18.500000000000046,118,1
134,-65.19999999999999,289,1
135,-107.49999999999955,432,1
136,-137.59999999999937,500,0
137,-40.6000000000001,175,1
138,-50.70000000000013,232,1
139,-47.70000000000012,202,1
140,-75.09999999999981,336,1
141,-15.400000000000034,95,1
142,-29.70000000000006,130,1
143,-141.59999999999926,500,0
144,-29.40000000000007,159,1
145,-45.500000000000135,220,1
146,-51.60000000000015,229,1
147,-108.49999999999943,482,1
148,-48.90000000000015,234,1
149,-30.100000000000122,178,1
150,-88.19999999999962,395,1
151,-62.10000000000002,274,1
152,-111.29999999999929,490,1
153,-113.09999999999927,480,1
154,-22.00000000000005,121,1
155,-58.3000000000001,252,1
156,-107.29999999999946,478,1
157,-131.5999999999991,500,0
158,-93.7999999999996,455,1
159,-47.60000000000013,217,1
160,-9.199999999999996,81,1
161,-49.40000000000014,223,1
162,-48.70000000000014,224,1
163,-132.79999999999916,500,0
164,-59.00000000000023,307,1
165,-131.59999999999914,500,0
166,-151.1999999999991,500,0
167,-33.500000000000114,184,1
168,-24.30000000000009,140,1
169,-125.69999999999922,498,1
170,-32.50000000000009,166,1
171,-65.1,332,1
172,-12.900000000000016,98,1
173,-54.70000000000019,288,1
174,-45.200000000000145,225,1
175,-60.500000000000114,290,1
176,-72.89999999999989,350,1
177,-38.6000000000001,187,1
178,-60.999999999999986,291,1
179,-100.99999999999943,423,1
180,-94.99999999999949,435,1
181,-53.50000000000017,256,1
182,-51.400000000000134,219,1
183,-63.10000000000011,296,1
184,-120.79999999999941,500,0
185,-54.80000000000018,265,1
186,-112.39999999999932,485,1
187,-30.30000000000011,184,1
188,-49.90000000000015,244,1
189,-34.30000000000009,164,1
190,-67.29999999999998,266,1
191,-26.700000000000053,140,1
192,-49.30000000000016,242,1
193,-117.9999999999994,500,0
194,-57.8000000000001,283,1
195,-61.69999999999999,250,1
196,-24.50000000000007,134,1
197,-42.00000000000009,197,1
198,-24.20000000000011,155,1
199,-55.40000000000015,271,1
200,-13.50000000000001,84,1
201,-39.90000000000013,220,1
202,-21.700000000000042,118,1
203,-36.60000000000008,179,1
204,-47.50000000000012,208,1
205,-63.50000000000007,292,1
206,-63.60000000000011,297,1
207,-31.200000000000067,149,1
208,-25.800000000000075,139,1
209,-52.300000000000146,228,1
210,-36.30000000000008,160,1
211,-58.300000000000125,264,1
212,-25.500000000000057,128,1
213,-21.900000000000013,124,1
214,-55.70000000000009,242,1
215,-78.89999999999992,306,1
216,-28.800000000000047,141,1
217,-51.30000000000011,202,1
218,-28.00000000000007,137,1
219,-36.40000000000008,189,1
220,-61.700000000000045,242,1
221,-17.30000000000003,114,1
222,-68.69999999999999,272,1
223,-49.000000000000135,211,1
224,-29.50000000000005,148,1
225,-30.20000000000006,159,1
226,-42.30000000000012,204,1
227,-89.49999999999957,400,1
228,-40.50000000000015,206,1
229,-69.8999999999999,300,1
230,-72.59999999999987,291,1
231,-40.20000000000016,231,1
232,-83.99999999999974,393,1
233,-66.5999999999999,287,1
234,-79.39999999999972,343,1
235,-28.100000000000072,154,1
236,-53.300000000000246,302,1
237,-41.20000000000012,205,1
238,-87.69999999999968,374,1
239,-70.19999999999999,303,1
240,-58.700000000000216,312,1
241,-14.500000000000014,94,1
242,-79.59999999999968,309,1
243,-22.40000000000007,137,1
244,-19.80000000000004,107,1
245,-34.20000000000009,167,1
246,-56.80000000000008,241,1
247,-27.000000000000057,139,1
248,-121.1999999999993,500,0
249,-53.300000000000104,234,1
250,-60.500000000000085,282,1
251,-18.500000000000036,106,1
252,-42.60000000000009,207,1
253,-58.70000000000013,272,1
254,-32.80000000000008,177,1
255,-19.7,126,1
256,-38.60000000000007,179,1
257,-32.9000000000001,174,1
258,-25.40000000000004,139,1
259,-54.20000000000013,235,1
260,-14.10000000000003,98,1
261,-12.900000000000041,94,1
262,-42.90000000000009,186,1
263,-40.90000000000012,218,1
264,-21.60000000000005,125,1
265,-52.100000000000165,250,1
266,-15.000000000000025,99,1
267,-41.100000000000136,208,1
268,-47.90000000000012,212,1
269,-134.79999999999924,500,0
270,-76.19999999999986,355,1
271,-44.90000000000012,214,1
272,-16.000000000000043,121,1
273,-38.300000000000104,180,1
274,-14.800000000000011,105,1
275,-33.300000000000054,146,1
276,-25.60000000000006,137,1
277,-28.10000000000008,162,1
278,-40.60000000000011,191,1
279,-56.20000000000009,263,1
280,-8.300000000000004,88,1
281,-30.200000000000088,159,1
282,-32.90000000000012,178,1
283,-4.499999999999989,66,1
284,-28.000000000000092,177,1
285,-48.4000000000001,233,1
286,-33.60000000000007,161,1
287,-44.200000000000124,199,1
288,-27.60000000000006,141,1
289,-30.500000000000107,182,1
290,-22.800000000000033,125,1
291,-36.100000000000044,158,1
292,-70.5999999999999,291,1
293,-7.700000000000003,70,1
294,-27.90000000000005,132,1
295,-22.00000000000005,121,1
296,-30.40000000000007,157,1
297,-26.20000000000006,139,1
298,-14.80000000000004,105,1
299,-16.20000000000003,99,1
300,-9.2,77,1
301,-33.70000000000008,170,1
302,1.300000000000006,40,1
303,-42.000000000000135,205,1
304,-84.5999999999998,339,1
305,-17.200000000000028,105,1
306,-25.800000000000047,139,1
307,-29.0000000000001,147,1
308,-51.500000000000156,260,1
309,-18.90000000000005,102,1
310,-20.80000000000006,125,1
311,-20.600000000000044,123,1
312,-13.500000000000004,108,1
313,-27.40000000000007,131,1
314,-41.00000000000011,195,1
315,-9.499999999999993,76,1
316,-37.300000000000125,186,1
317,-18.300000000000033,104,1
318,-19.300000000000022,110,1
319,-17.100000000000016,104,1
320,-7.199999999999985,77,1
321,-23.400000000000084,139,1
322,-9.499999999999993,80,1
323,-24.600000000000044,119,1
324,-8.29999999999999,72,1
325,-29.50000000000007,152,1
326,-20.700000000000074,124,1
327,-10.100000000000001,82,1
328,-16.100000000000023,86,1
329,-57.80000000000008,227,1
330,-26.80000000000006,145,1
331,-65.19999999999999,253,1
332,-18.900000000000045,122,1
333,-25.000000000000043,119,1
334,-33.10000000000008,156,1
335,-43.200000000000095,177,1
336,-22.50000000000005,122,1
337,-34.70000000000009,168,1
338,-26.300000000000033,124,1
339,-11.600000000000016,73,1
340,-33.90000000000007,172,1
341,-21.600000000000037,97,1
342,-22.400000000000055,121,1
343,-8.499999999999993,70,1
344,-6.29999999999999,60,1
345,-25.200000000000045,113,1
346,-28.300000000000082,144,1
347,-26.90000000000005,134,1
348,-30.300000000000075,152,1
349,-7.499999999999993,72,1
350,-13.200000000000024,101,1
351,-18.800000000000033,97,1
352,-56.50000000000004,230,1
353,-45.60000000000008,193,1
354,-18.100000000000026,98,1
355,-28.400000000000063,129,1
356,-12.90000000000003,94,1
357,-20.000000000000046,117,1
358,-23.40000000000005,123,1
359,-10.500000000000018,74,1
360,-16.200000000000024,107,1
361,-3.1999999999999886,61,1
362,-29.600000000000072,133,1
363,-6.29999999999999,64,1
364,-20.100000000000023,94,1
365,-13.300000000000026,86,1
366,-48.80000000000008,181,1
367,-27.90000000000004,116,1
368,-19.300000000000058,110,1
369,-27.900000000000055,124,1
370,-23.800000000000026,119,1
371,-14.400000000000006,89,1
372,-14.700000000000024,80,1
373,-44.100000000000094,186,1
374,-24.700000000000053,116,1
375,-21.50000000000001,96,1
376,-10.500000000000007,78,1
377,-16.10000000000003,90,1
378,-34.00000000000005,145,1
379,-1.7999999999999918,51,1
380,-14.600000000000016,87,1
381,-14.100000000000023,98,1
382,-34.200000000000045,151,1
383,-4.499999999999989,58,1
384,-5.299999999999992,66,1
385,-44.50000000000008,178,1
386,-30.500000000000057,130,1
387,-21.800000000000043,111,1
388,-13.60000000000003,97,1
389,-43.100000000000115,196,1
390,-10.600000000000009,75,1
391,-2.299999999999992,60,1
392,-1.9999999999999893,57,1
393,-27.000000000000057,131,1
394,0.1000000000000103,56,1
395,-58.500000000000085,234,1
396,-9.699999999999992,74,1
397,-10.499999999999993,82,1
398,-11.400000000000038,79,1
399,-27.000000000000057,119,1
400,-26.500000000000057,138,1
401,-16.10000000000003,94,1
402,-54.50000000000013,222,1
403,-18.20000000000004,107,1
404,-38.70000000000007,184,1
405,-13.20000000000002,93,1
406,-18.70000000000004,100,1
407,-22.500000000000064,138,1
408,-10.20000000000001,71,1
409,-16.30000000000004,100,1
410,-7.599999999999987,77,1
411,-13.000000000000025,95,1
412,-2.299999999999992,52,1
413,-7.199999999999999,65,1
414,-4.7999999999999865,65,1
415,-2.999999999999991,55,1
416,-6.29999999999999,64,1
417,-16.50000000000004,102,1
418,-21.800000000000058,119,1
419,-11.300000000000018,82,1
420,-6.3999999999999915,53,1
421,-11.300000000000011,74,1
422,-14.400000000000023,113,1
423,-16.300000000000033,108,1
424,-18.000000000000025,93,1
425,-18.90000000000004,106,1
426,-11.20000000000001,81,1
427,-8.5,82,1
428,-4.699999999999994,52,1
429,-32.400000000000105,157,1
430,-23.700000000000067,138,1
431,-17.10000000000001,112,1
432,-31.200000000000088,141,1
433,-10.100000000000005,74,1
434,-57.700000000000045,218,1
435,-10.600000000000005,79,1
436,-13.400000000000034,91,1
437,-13.200000000000028,81,1
438,-11.899999999999991,92,1
439,-24.50000000000003,114,1
440,-31.900000000000055,148,1
441,-4.69999999999999,60,1
442,-4.19999999999999,71,1
443,-26.50000000000005,126,1
444,-35.300000000000104,178,1
445,-25.200000000000045,129,1
446,-17.60000000000003,89,1
447,-16.60000000000004,95,1
448,-20.600000000000072,131,1
449,-19.70000000000004,110,1
450,-27.300000000000054,130,1
451,-20.700000000000053,112,1
452,-14.300000000000004,96,1
453,-14.000000000000018,89,1
454,-12.900000000000016,90,1
455,-13.600000000000016,97,1
456,-11.700000000000014,82,1
457,-14.300000000000022,104,1
458,-14.500000000000036,94,1
459,-67.19999999999996,297,1
460,-20.800000000000047,113,1
461,-18.900000000000038,118,1
462,-27.20000000000006,137,1
463,-12.60000000000002,83,1
464,-9.700000000000003,66,1
465,-18.80000000000003,101,1
466,-4.69999999999999,64,1
467,-12.000000000000007,89,1
468,-17.100000000000016,88,1
469,-3.2999999999999865,62,1
470,-31.70000000000008,150,1
471,-11.700000000000017,78,1
472,-15.500000000000021,88,1
473,-22.90000000000005,122,1
474,-33.80000000000007,159,1
475,-18.700000000000028,104,1
476,-22.000000000000043,101,1
477,-0.6999999999999922,48,1
478,-12.200000000000006,83,1
479,-35.10000000000007,168,1
480,-11.900000000000006,84,1
481,-15.400000000000041,103,1
482,-24.200000000000045,115,1
483,-15.400000000000034,91,1
484,-35.200000000000074,141,1
485,-14.800000000000008,85,1
486,-23.000000000000043,107,1
487,-33.10000000000006,136,1
488,-15.200000000000042,101,1
489,-3.2999999999999883,58,1
490,-12.600000000000023,87,1
491,-16.70000000000004,88,1
492,-4.499999999999989,62,1
493,-3.0999999999999908,56,1
494,-16.300000000000047,92,1
495,-3.299999999999992,54,1
496,-13.800000000000018,87,1
497,-13.70000000000002,98,1
498,-20.200000000000028,99,1
499,-7.099999999999987,72,1
500,-1.1999999999999904,57,1
501,-18.30000000000004,104,1
502,-31.800000000000075,135,1
503,-23.90000000000005,112,1
504,-13.200000000000017,77,1
505,-8.600000000000001,79,1
506,-14.500000000000021,90,1
507,-10.800000000000026,81,1
508,-0.8999999999999932,46,1
509,-3.5999999999999908,57,1
510,-20.900000000000034,106,1
511,-14.900000000000023,90,1
512,-15.000000000000028,91,1
513,-3.3999999999999932,55,1
514,-3.799999999999992,51,1
515,-3.999999999999993,53,1
516,-4.199999999999989,67,1
517,-12.400000000000016,73,1
518,-15.300000000000033,94,1
519,-7.599999999999991,69,1
520,-16.20000000000003,103,1
521,-2.799999999999992,49,1
522,-33.40000000000006,163,1
523,-4.999999999999991,59,1
524,-3.899999999999986,64,1
525,-13.800000000000011,79,1
526,-4.89999999999999,62,1
527,-12.200000000000003,87,1
528,-13.099999999999994,80,1
529,-9.599999999999994,77,1
530,-23.200000000000045,101,1
531,-8.40000000000001,69,1
532,-9.399999999999995,71,1
533,-2.999999999999993,51,1
534,-15.900000000000048,92,1
535,-26.30000000000004,112,1
536,-8.099999999999994,70,1
537,-8.7,72,1
538,-1.0999999999999908,52,1
539,-14.000000000000014,81,1
540,-62.700000000000045,236,1
541,-11.50000000000001,84,1
542,-23.70000000000003,98,1
543,-15.70000000000002,78,1
544,-13.600000000000016,73,1
545,-6.599999999999994,63,1
546,-8.700000000000003,72,1
547,-4.39999999999999,57,1
548,-2.4999999999999947,50,1
549,-2.9999999999999893,51,1
550,-4.29999999999999,56,1
551,-11.899999999999991,80,1
552,-17.50000000000003,96,1
553,1.5000000000000036,38,1
554,-15.500000000000014,88,1
555,2.1000000000000068,40,1
556,-3.4999999999999893,56,1
557,-3.399999999999988,59,1
558,-9.100000000000009,68,1
559,-6.499999999999993,66,1
560,-6.800000000000001,61,1
561,-3.499999999999991,56,1
562,-4.999999999999991,55,1
563,-13.90000000000003,80,1
564,-8.20000000000001,67,1
565,-7.199999999999992,65,1
566,-12.900000000000013,78,1
567,-0.9999999999999893,51,1
568,-0.5999999999999943,39,1
569,-19.900000000000027,88,1
570,-12.000000000000004,73,1
571,-5.699999999999992,58,1
572,-11.500000000000018,72,1
573,-5.89999999999999,60,1
574,-6.800000000000001,65,1
575,-14.799999999999997,73,1
576,-7.699999999999999,74,1
577,-14.900000000000027,82,1
578,-1.7999999999999936,47,1
579,-11.700000000000006,82,1
580,-4.799999999999992,61,1
581,-7.899999999999988,64,1
582,-17.00000000000003,91,1
583,-3.499999999999991,60,1
584,-8.100000000000001,70,1
585,-2.2999999999999954,48,1
586,-1.8999999999999915,48,1
587,-15.000000000000021,75,1
588,-16.400000000000023,77,1
589,-6.79999999999999,65,1
590,-6.199999999999996,59,1
591,-3.9999999999999893,61,1
592,1.900000000000004,34,1
593,-8.000000000000007,65,1
594,-6.599999999999994,67,1
595,-5.799999999999994,55,1
596,-12.90000000000002,82,1
597,-10.499999999999993,74,1
598,-10.800000000000008,81,1
599,-12.900000000000006,74,1
600,-17.799999999999997,91,1
601,-19.90000000000004,100,1
602,-0.19999999999999218,47,1
603,-6.2999999999999865,68,1
604,-12.500000000000014,90,1
605,-5.29999999999999,62,1
606,-3.0999999999999908,52,1
607,-11.40000000000001,79,1
608,-5.0999999999999925,56,1
609,-14.100000000000023,82,1
610,-3.7999999999999936,51,1
611,-5.699999999999992,58,1
612,-2.2999999999999936,48,1
613,-10.8,73,1
614,-14.700000000000031,84,1
615,-10.200000000000017,79,1
616,-13.200000000000024,81,1
617,-11.700000000000017,70,1
618,-5.699999999999994,58,1
619,-7.199999999999996,65,1
620,-6.599999999999987,67,1
621,-6.599999999999994,63,1
622,-9.999999999999993,69,1
623,-1.3999999999999932,47,1
624,-4.499999999999991,58,1
625,-11.900000000000013,76,1
626,-7.999999999999993,73,1
627,-15.900000000000034,88,1
628,-11.900000000000016,88,1
629,-15.500000000000039,96,1
630,-8.600000000000001,75,1
631,-21.600000000000037,101,1
632,-2.0999999999999908,54,1
633,-14.10000000000003,86,1
634,-6.599999999999991,67,1
635,0.8000000000000078,41,1
636,-5.499999999999989,64,1
637,-6.599999999999998,67,1
638,-2.999999999999991,55,1
639,-6.799999999999994,53,1
640,-0.8999999999999897,54,1
641,-3.3999999999999915,55,1
642,-18.60000000000004,103,1
643,-12.000000000000025,73,1
644,-8.800000000000004,73,1
645,-23.20000000000004,113,1
646,-6.999999999999993,71,1
647,-2.5999999999999908,59,1
648,-4.8999999999999915,58,1
649,-10.3,80,1
650,-111.29999999999973,342,1
651,-5.699999999999992,58,1
652,-6.79999999999999,61,1
653,-2.099999999999989,54,1
654,-1.4999999999999947,52,1
655,-3.0999999999999925,56,1
656,-3.0999999999999908,60,1
657,-12.000000000000021,81,1
658,-7.199999999999999,65,1
659,-0.3999999999999915,49,1
660,-8.700000000000003,64,1
661,-25.400000000000055,111,1
662,-0.6999999999999904,52,1
663,-4.89999999999999,62,1
664,-2.9999999999999947,47,1
665,-16.500000000000036,94,1
666,-4.29999999999999,60,1
667,-0.09999999999999254,46,1
668,-1.9999999999999911,49,1
669,-14.200000000000028,83,1
670,-1.2999999999999936,50,1
671,-9.999999999999993,73,1
672,-3.999999999999991,61,1
673,-16.100000000000026,86,1
674,-12.300000000000015,80,1
675,-6.999999999999993,63,1
676,-16.300000000000026,92,1
677,-12.20000000000001,75,1
678,-7.099999999999991,64,1
679,-6.599999999999994,55,1
680,-23.000000000000057,107,1
681,-5.799999999999992,55,1
682,-4.499999999999993,54,1
683,-6.599999999999991,63,1
684,-9.100000000000009,84,1
685,-6.999999999999993,59,1
686,-5.499999999999991,64,1
687,-6.199999999999992,63,1
688,-7.199999999999989,65,1
689,-13.300000000000033,86,1
690,-8.29999999999999,68,1
691,-10.700000000000014,84,1
692,-16.70000000000003,84,1
693,-8.699999999999996,68,1
694,0.600000000000005,47,1
695,-2.8999999999999897,58,1
696,0.7000000000000064,46,1
697,-0.9999999999999929,51,1
698,-9.099999999999998,72,1
699,-10.400000000000006,73,1
700,-10.400000000000013,77,1
701,-5.8999999999999915,68,1
702,-11.700000000000028,74,1
703,-2.499999999999991,58,1
704,-3.999999999999991,57,1
705,-14.600000000000044,91,1
706,-10.5,74,1
707,-10.399999999999995,73,1
708,-10.900000000000006,70,1
709,-10.500000000000014,66,1
710,-4.3999999999999915,57,1
711,-15.80000000000003,95,1
712,-3.499999999999991,60,1
713,-3.499999999999993,52,1
714,-3.0999999999999908,52,1
715,-1.199999999999994,49,1
716,-27.800000000000054,119,1
717,1.2000000000000064,45,1
718,-1.29999999999999,50,1
719,2.100000000000006,40,1
720,-7.099999999999994,72,1
721,-8.099999999999998,70,1
722,-3.29999999999999,58,1
723,-6.199999999999989,59,1
724,-7.199999999999999,65,1
725,-7.200000000000003,61,1
726,-10.0,81,1
727,-5.999999999999993,57,1
728,2.3000000000000043,34,1
729,-0.899999999999995,46,1
730,-3.4999999999999893,56,1
731,-9.29999999999999,66,1
