episode,reward,steps,success
1,-125.99999999999926,500,0
2,-134.39999999999927,500,0
3,-134.79999999999941,500,0
4,-135.99999999999937,500,0
5,-103.39999999999938,451,1
6,-130.39999999999915,500,0
7,-124.79999999999936,500,0
8,-125.99999999999915,500,0
9,-153.59999999999917,500,0
10,-127.99999999999937,500,0
11,-122.39999999999921,500,0
12,-79.49999999999974,320,1
13,-121.1999999999993,500,0
14,-129.59999999999914,500,0
15,-127.99999999999923,500,0
16,-131.19999999999942,500,0
17,-125.59999999999906,500,0
18,-138.39999999999938,500,0
19,-129.59999999999923,500,0
20,-22.10000000000003,122,1
21,-135.59999999999962,500,0
22,-126.19999999999942,491,1
23,-149.5999999999994,500,0
24,-115.19999999999938,500,0
25,-140.39999999999927,500,0
26,-127.59999999999928,500,0
27,-93.59999999999965,377,1
28,-123.59999999999907,500,0
29,-130.3999999999994,500,0
30,-120.79999999999926,500,0
31,-129.19999999999916,500,0
32,-123.19999999999928,500,0
33,-143.1999999999991,500,0
34,-129.1999999999995,500,0
35,-67.60000000000005,297,1
36,-54.20000000000013,251,1
37,-133.59999999999928,500,0
38,-127.99999999999918,500,0
39,-125.19999999999914,500,0
40,-133.19999999999922,500,0
41,-77.29999999999995,322,1
42,-135.5999999999994,500,0
43,-41.80000000000012,215,1
44,-120.99999999999943,447,1
45,-127.99999999999959,500,0
46,-60.200000000000074,287,1
47,-77.19999999999976,333,1
48,-66.30000000000003,316,1
49,-121.9999999999992,500,0
50,-100.8999999999995,418,1
51,-121.19999999999929,500,0
52,-121.69999999999905,494,1
53,-141.9999999999994,500,0
54,-127.89999999999921,492,1
55,-134.3999999999993,500,0
56,-141.59999999999917,500,0
57,-35.100000000000094,200,1
58,-145.1999999999996,500,0
59,-146.79999999999936,500,0
60,-86.59999999999982,327,1
61,-121.19999999999926,500,0
62,-105.09999999999965,428,1
63,-136.79999999999941,500,0
64,-137.99999999999946,500,0
65,-41.1000000000001,220,1
66,-142.39999999999944,500,0
67,-122.39999999999938,500,0
68,-70.99999999999994,299,1
69,-51.10000000000012,236,1
70,-34.20000000000006,147,1
71,-132.39999999999935,500,0
72,-132.3999999999992,500,0
73,-122.39999999999915,500,0
74,-135.99999999999952,500,0
75,-85.69999999999979,338,1
76,-33.10000000000004,156,1
77,-116.79999999999914,500,0
78,-121.99999999999923,500,0
79,-57.40000000000012,283,1
80,-136.39999999999944,500,0
81,-126.79999999999959,500,0
82,-107.09999999999971,416,1
83,-45.3000000000001,202,1
84,-34.70000000000006,164,1
85,-125.99999999999903,500,0
86,-111.1999999999994,500,0
87,-121.99999999999908,500,0
88,-90.69999999999969,408,1
89,-119.19999999999926,500,0
90,-127.59999999999926,500,0
91,-132.7999999999993,500,0
92,-123.9999999999992,500,0
93,-117.19999999999933,500,0
94,-136.79999999999905,500,0
95,-137.19999999999933,500,0
96,-132.79999999999927,500,0
97,-123.19999999999914,500,0
98,-128.79999999999916,500,0
99,-150.39999999999947,500,0
100,-76.09999999999985,370,1
101,-90.69999999999962,416,1
102,-123.59999999999931,500,0
103,-125.9999999999992,500,0
104,-145.59999999999937,500,0
105,-57.90000000000009,300,1
106,-125.19999999999935,500,0
107,-151.19999999999914,500,0
108,-122.79999999999936,500,0
109,-113.59999999999953,500,0
110,-110.39999999999962,481,1
111,-74.09999999999985,318,1
112,-128.3999999999995,500,0
113,-100.69999999999945,460,1
114,-60.10000000000008,254,1
115,-114.79999999999947,500,0
116,-103.6999999999997,378,1
117,-165.19999999999953,500,0
118,-125.99999999999929,500,0
119,-131.99999999999926,500,0
120,-115.99999999999945,437,1
121,-73.59999999999988,289,1
122,-35.70000000000007,162,1
123,-71.59999999999991,301,1
124,-37.20000000000008,177,1
125,-102.09999999999953,430,1
126,-45.40000000000018,247,1
127,-84.29999999999981,344,1
128,-118.79999999999933,500,0
129,-120.39999999999924,500,0
130,-118.79999999999923,500,0
131,-118.39999999999947,500,0
132,-71.1,344,1
133,-133.59999999999928,500,0
134,-80.99999999999991,363,1
135,-141.99999999999923,500,0
136,-131.5999999999992,500,0
137,-119.99999999999928,500,0
138,-139.99999999999915,500,0
139,-131.9999999999992,500,0
140,-141.59999999999934,500,0
141,-42.50000000000008,214,1
142,-81.1999999999997,369,1
143,-20.500000000000068,150,1
144,-77.09999999999978,320,1
145,-127.9999999999992,500,0
146,-65.70000000000002,278,1
147,-128.39999999999955,500,0
148,-72.99999999999996,355,1
149,-100.39999999999935,457,1
150,-103.6999999999994,454,1
151,-129.19999999999916,500,0
152,-138.7999999999994,500,0
153,-137.99999999999918,500,0
154,-41.400000000000105,183,1
155,-38.60000000000011,191,1
156,-118.39999999999927,500,0
157,-81.49999999999972,376,1
158,-75.89999999999975,380,1
159,-134.79999999999941,500,0
160,-36.30000000000009,196,1
161,-42.40000000000011,189,1
162,-62.700000000000074,320,1
163,-132.7999999999993,500,0
164,-88.1999999999997,387,1
165,-143.19999999999916,500,0
166,-25.000000000000036,155,1
167,-71.09999999999992,328,1
168,-38.40000000000013,205,1
169,-99.89999999999952,388,1
170,-83.29999999999973,350,1
171,-40.50000000000011,214,1
172,-28.300000000000075,152,1
173,-85.59999999999974,385,1
174,-59.500000000000085,248,1
175,-82.39999999999968,381,1
176,-70.89999999999979,334,1
177,-73.79999999999987,279,1
178,-60.10000000000001,246,1
179,-134.79999999999916,500,0
180,-110.19999999999946,419,1
181,-43.20000000000011,193,1
182,-132.39999999999898,500,0
183,-64.79999999999993,301,1
184,-139.1999999999991,500,0
185,-141.99999999999918,500,0
186,-132.3999999999992,500,0
187,-115.1999999999993,500,0
188,-121.59999999999913,500,0
189,-74.2999999999999,356,1
190,-59.40000000000012,299,1
191,-131.59999999999954,500,0
192,-92.59999999999957,407,1
193,-109.39999999999941,479,1
194,-71.09999999999995,300,1
195,-25.20000000000006,145,1
196,-24.900000000000055,142,1
197,-41.800000000000125,207,1
198,-32.90000000000011,186,1
199,-123.59999999999903,500,0
200,-84.39999999999966,417,1
201,-119.1999999999993,500,0
202,-103.49999999999935,452,1
203,-82.09999999999985,386,1
204,-67.49999999999991,284,1
205,-50.50000000000009,210,1
206,-54.20000000000016,259,1
207,-91.39999999999938,423,1
208,-67.6999999999999,262,1
209,-75.69999999999993,334,1
210,-26.30000000000006,128,1
211,-21.10000000000005,144,1
212,-23.000000000000043,123,1
213,-100.69999999999958,436,1
214,-112.7999999999993,500,0
215,-76.79999999999984,321,1
216,-34.300000000000104,180,1
217,-99.49999999999945,476,1
218,-13.40000000000003,107,1
219,-53.70000000000013,226,1
220,-131.19999999999928,500,0
221,-125.59999999999923,500,0
222,-73.19999999999989,313,1
223,-55.70000000000013,258,1
224,-46.30000000000018,244,1
225,-35.80000000000012,191,1
226,-71.59999999999988,365,1
227,-70.29999999999995,256,1
228,-58.500000000000114,262,1
229,-45.10000000000015,232,1
230,-50.100000000000186,246,1
231,-39.300000000000104,210,1
232,-78.69999999999978,340,1
233,-39.20000000000012,181,1
234,-26.40000000000007,145,1
235,-86.69999999999953,428,1
236,-22.700000000000095,160,1
237,-87.29999999999967,410,1
238,-26.800000000000075,149,1
239,-45.10000000000013,212,1
240,-39.300000000000104,182,1
