episode,reward,steps,success,epsilon
1,-132.7999999999993,500,0,0.995
2,-126.79999999999944,500,0,0.990025
3,-128.3999999999992,500,0,0.985074875
4,-109.9999999999994,500,0,0.9801495006250001
5,-136.39999999999947,500,0,0.9752487531218751
6,-124.39999999999932,500,0,0.9703725093562657
7,-128.79999999999953,500,0,0.9655206468094844
8,-120.79999999999959,500,0,0.960693043575437
9,-127.19999999999942,500,0,0.9558895783575597
10,-121.19999999999905,500,0,0.9511101304657719
11,-127.99999999999946,500,0,0.946354579813443
12,-127.59999999999934,500,0,0.9416228069143757
13,-114.3999999999995,500,0,0.9369146928798039
14,-116.3999999999994,500,0,0.9322301194154049
15,-121.59999999999917,500,0,0.9275689688183278
16,-121.5999999999993,500,0,0.9229311239742362
17,-118.39999999999928,500,0,0.918316468354365
18,-114.39999999999947,500,0,0.9137248860125932
19,-119.99999999999919,500,0,0.9091562615825302
20,-111.19999999999948,500,0,0.9046104802746175
21,-96.49999999999939,446,1,0.9000874278732445
22,-118.39999999999912,500,0,0.8955869907338783
23,-115.9999999999994,500,0,0.8911090557802088
24,-117.99999999999949,500,0,0.8866535105013078
25,-109.99999999999923,500,0,0.8822202429488013
26,-119.19999999999928,500,0,0.8778091417340573
27,-23.20000000000003,137,1,0.8734200960253871
28,-99.79999999999953,467,1,0.8690529955452602
29,-100.99999999999937,487,1,0.8647077305675338
30,-113.19999999999906,500,0,0.8603841919146962
31,-121.19999999999928,500,0,0.8560822709551227
32,-108.79999999999953,500,0,0.851801859600347
33,-156.79999999999976,500,0,0.8475428503023453
34,-102.79999999999959,500,0,0.8433051360508336
35,-114.79999999999913,500,0,0.8390886103705794
36,-74.49999999999982,422,1,0.8348931673187264
37,-110.79999999999926,500,0,0.8307187014821328
38,-108.39999999999965,500,0,0.8265651079747222
39,-101.99999999999926,500,0,0.8224322824348486
40,-96.79999999999929,500,0,0.8183201210226743
41,-27.000000000000085,179,1,0.8142285204175609
42,-123.19999999999945,500,0,0.810157377815473
43,-99.99999999999952,500,0,0.8061065909263957
44,-93.19999999999953,500,0,0.8020760579717637
45,-93.59999999999951,500,0,0.798065677681905
46,-99.59999999999937,500,0,0.7940753492934954
47,-108.79999999999919,500,0,0.7901049725470279
48,-105.59999999999945,500,0,0.7861544476842928
49,-19.700000000000074,158,1,0.7822236754458713
50,-95.59999999999948,500,0,0.778312557068642
51,-101.19999999999973,500,0,0.7744209942832988
52,-42.700000000000145,256,1,0.7705488893118823
53,-96.79999999999941,500,0,0.7666961448653229
54,-96.79999999999953,500,0,0.7628626641409962
55,-41.000000000000156,231,1,0.7590483508202912
56,-88.3999999999995,500,0,0.7552531090661897
57,-96.3999999999996,500,0,0.7514768435208588
58,-99.1999999999994,500,0,0.7477194593032545
59,-93.19999999999968,500,0,0.7439808620067382
60,-74.39999999999986,465,1,0.7402609576967045
61,-101.59999999999937,500,0,0.736559652908221
62,-37.900000000000176,292,1,0.7328768546436799
63,-98.39999999999955,500,0,0.7292124703704616
64,-49.3000000000002,306,1,0.7255664080186093
65,-103.1999999999992,500,0,0.7219385759785162
66,-85.19999999999976,500,0,0.7183288830986236
67,-92.39999999999961,500,0,0.7147372386831305
68,-98.79999999999947,500,0,0.7111635524897149
69,-91.19999999999956,500,0,0.7076077347272662
